timestamp,is_walking,fsr,x_acc,y_acc,z_acc
23883,0,3,-0.16,0.01,0.99
23903,0,4,-0.16,0.01,0.99
23923,0,3,-0.16,0.01,0.99
23943,0,3,-0.16,0.01,0.99
23963,0,3,-0.16,0.01,0.99
23984,0,4,-0.16,0.01,0.99
24004,0,4,-0.16,0.01,0.99
24025,0,4,-0.16,0.01,0.99
24045,0,4,-0.16,0.01,0.99
24066,0,4,-0.16,0.01,0.99
24086,0,3,-0.16,0.01,0.99
24107,0,4,-0.16,0.01,0.99
24127,0,3,-0.16,0.01,0.99
24147,0,3,-0.16,0.01,0.99
24167,0,4,-0.16,0.01,0.99
24187,0,3,-0.16,0.01,0.99
24207,0,4,-0.16,0.01,0.99
24227,0,3,-0.16,0.01,0.99
24248,0,3,-0.16,0.01,0.99
24268,0,4,-0.16,0.01,0.99
24288,0,3,-0.16,0.01,0.99
24308,0,4,-0.16,0.01,0.99
24328,0,4,-0.16,0.01,0.99
24348,0,4,-0.16,0.01,0.99
24364,0,3,-0.16,0.01,0.99
24384,0,3,-0.16,0.01,0.99
24404,0,3,-0.16,0.01,0.99
24425,0,4,-0.16,0.01,0.99
24445,0,4,-0.16,0.01,0.99
24465,0,4,-0.16,0.01,0.99
24485,0,4,-0.16,0.01,0.99
24505,0,3,-0.16,0.01,0.99
24525,0,4,-0.16,0.01,0.99
24545,0,4,-0.16,0.01,0.99
24565,0,3,-0.16,0.01,0.99
24585,0,3,-0.16,0.01,0.99
24605,0,4,-0.16,0.01,0.99
24626,0,4,-0.16,0.01,0.99
24646,0,4,-0.16,0.01,0.99
24667,0,4,-0.16,0.01,0.99
24687,0,4,-0.16,0.01,0.99
24708,0,3,-0.16,0.01,0.99
24728,0,4,-0.16,0.01,0.99
24749,0,3,-0.16,0.01,0.99
24769,0,3,-0.16,0.01,0.99
24790,0,3,-0.16,0.01,0.99
24810,0,3,-0.16,0.01,0.99
24830,0,4,-0.16,0.01,0.99
24846,0,3,-0.16,0.01,0.99
24866,0,3,-0.16,0.01,0.99
24886,0,4,-0.16,0.01,0.99
24906,0,4,-0.16,0.01,0.99
24926,0,4,-0.16,0.01,0.99
24946,0,4,-0.16,0.01,0.99
24966,0,4,-0.16,0.01,0.99
24986,0,4,-0.16,0.01,0.99
25008,0,3,-0.16,0.01,0.99
25028,0,4,-0.16,0.01,0.99
25049,0,3,-0.16,0.01,0.99
25069,0,4,-0.16,0.01,0.99
25090,0,4,-0.16,0.01,0.99
25110,0,4,-0.16,0.01,0.99
25131,0,4,-0.16,0.01,0.99
25151,0,4,-0.16,0.01,0.99
25171,0,4,-0.16,0.01,0.99
25191,0,4,-0.16,0.01,0.99
25211,0,104,-0.16,0.01,0.99
25231,0,202,-0.16,0.01,0.99
25251,0,274,-0.16,0.01,0.99
25271,0,338,-0.16,0.01,0.99
25291,0,380,-0.16,0.01,0.99
25311,0,409,-0.16,0.01,0.99
25326,0,428,-0.16,0.01,0.99
25347,0,443,-0.16,0.01,0.99
25369,0,460,-0.16,0.01,0.99
25390,0,466,-0.16,0.01,0.99
25410,0,472,-0.16,0.01,0.99
25431,0,473,-0.16,0.01,0.99
25451,0,468,-0.16,0.01,0.99
25472,0,466,-0.16,0.01,0.99
25492,0,463,-0.16,0.01,0.99
25512,0,459,-0.16,0.01,0.99
25532,0,456,-0.16,0.01,0.99
25552,0,449,-0.16,0.01,0.99
25572,0,444,-0.16,0.01,0.99
25592,0,445,-0.16,0.01,0.99
25612,0,440,-0.16,0.01,0.99
25632,0,435,-0.16,0.01,0.99
25652,0,431,-0.16,0.01,0.99
25672,0,426,-0.16,0.01,0.99
25692,0,427,-0.16,0.01,0.99
25712,0,425,-0.16,0.01,0.99
25734,0,420,-0.16,0.01,0.99
25754,0,416,-0.16,0.01,0.99
25775,0,413,-0.16,0.01,0.99
25795,0,408,-0.16,0.01,0.99
25810,0,405,-0.16,0.01,0.99
25830,0,403,-0.16,0.01,0.99
25850,0,404,-0.16,0.01,0.99
25870,0,405,-0.16,0.01,0.99
25890,0,405,-0.16,0.01,0.99
25910,0,405,-0.16,0.01,0.99
25930,0,414,-0.16,0.01,0.99
25950,0,412,-0.16,0.01,0.99
25970,0,404,-0.16,0.01,0.99
25990,0,400,-0.16,0.01,0.99
26010,0,388,-0.16,0.01,0.99
26031,0,386,-0.16,0.01,0.99
26051,0,375,-0.16,0.01,0.99
26074,0,362,-0.16,0.01,0.99
26094,0,357,-0.16,0.01,0.99
26115,0,354,-0.16,0.01,0.99
26135,0,354,-0.16,0.01,0.99
26156,0,353,-0.16,0.01,0.99
26176,0,353,-0.16,0.01,0.99
26196,0,350,-0.16,0.01,0.99
26217,0,353,-0.16,0.01,0.99
26237,0,353,-0.16,0.01,0.99
26257,0,356,-0.16,0.01,0.99
26277,0,356,0.16,0.01,0.99
26292,0,354,0.16,0.01,0.99
26312,0,349,-0.16,0.01,0.99
26332,0,343,-0.16,0.01,0.99
26352,0,346,-0.16,0.01,0.99
26373,0,345,-0.16,0.01,0.99
26393,0,342,-0.16,0.01,0.99
26414,0,333,-0.16,0.01,0.99
26436,0,324,-0.16,0.01,0.99
26457,0,321,-0.16,0.01,0.99
26477,0,316,-0.16,0.01,0.99
26498,0,313,-0.16,0.01,0.99
26518,0,315,-0.16,0.01,0.99
26539,0,314,-0.16,0.01,0.99
26559,0,316,-0.16,0.01,0.99
26579,0,325,-0.16,0.01,0.99
26599,0,336,-0.16,0.01,0.99
26619,0,341,-0.16,0.01,0.99
26639,0,358,-0.16,0.01,0.99
26659,0,381,-0.16,0.01,0.99
26679,0,401,-0.16,0.01,0.99
26699,0,412,-0.16,0.01,0.99
26719,0,413,-0.16,0.01,0.99
26739,0,426,-0.16,0.01,0.99
26759,0,426,0.92,1.14,-3.40
26774,0,428,0.92,1.14,-3.40
26791,0,428,0.92,1.14,-3.40
26811,0,431,-0.16,0.01,0.99
26831,0,437,-0.16,0.01,0.99
26851,0,440,-0.16,0.01,0.99
26871,0,445,-0.16,0.01,0.99
26891,0,445,-0.16,0.01,0.99
26911,0,447,-0.16,0.01,0.99
26931,0,449,-0.16,0.01,0.99
26951,0,457,-0.16,0.01,0.99
26972,0,460,-0.16,0.01,0.99
26992,0,468,-0.16,0.01,0.99
27013,0,479,-0.16,0.01,0.99
27033,0,491,-0.16,0.01,0.99
27054,0,500,-0.16,0.01,0.99
27074,0,510,-0.16,0.01,0.99
27095,0,512,-0.16,0.01,0.99
27115,0,509,-0.16,0.01,0.99
27137,0,498,-0.16,0.01,0.99
27157,0,486,-0.16,0.01,0.99
27177,0,470,-0.16,0.01,0.99
27198,0,461,-0.16,0.01,0.99
27218,0,448,-0.16,0.01,0.99
27238,0,441,-0.16,0.01,0.99
27258,0,436,-2.44,-2.64,-0.19
27273,0,431,-2.44,-2.64,-0.19
27293,0,423,-0.16,0.01,0.99
27313,0,412,-0.16,0.01,0.99
27333,0,395,-0.16,0.01,0.99
27354,0,380,-0.16,0.01,0.99
27374,0,372,-0.16,0.01,0.99
27395,0,363,-0.16,0.01,0.99
27415,0,355,-0.16,0.01,0.99
27436,0,353,-0.16,0.01,0.99
27456,0,350,-0.16,0.01,0.99
27476,0,345,-0.16,0.01,0.99
27499,0,341,-0.16,0.01,0.99
27520,0,323,-0.16,0.01,0.99
27540,0,319,-0.16,0.01,0.99
27560,0,311,-0.16,0.01,0.99
27580,0,310,-0.16,0.01,0.99
27600,0,303,-0.16,0.01,0.99
27620,0,291,-0.16,0.01,0.99
27640,0,285,-0.16,0.01,0.99
27660,0,284,-0.16,0.01,0.99
27680,0,274,-0.16,0.01,0.99
27700,0,270,-0.16,0.01,0.99
27720,0,271,-0.16,0.01,0.99
27735,0,271,-0.16,0.01,0.99
27755,0,278,-0.16,0.01,0.99
27776,0,274,-0.16,0.01,0.99
27796,0,274,-0.16,0.01,0.99
27816,0,259,-0.16,0.01,0.99
27836,0,254,-0.16,0.01,0.99
27858,0,253,-0.16,0.01,0.99
27878,0,252,-0.16,0.01,0.99
