timestamp,is_walking,fsr,x_acc,y_acc,z_acc
7201,0,6,0.00,0.00,0.00
7221,0,5,-0.14,0.01,0.99
7241,0,5,-0.14,0.01,0.99
7261,0,1,-0.14,0.01,0.99
7281,0,8,-0.14,0.01,0.99
7302,0,0,-0.14,0.01,0.99
7322,0,3,-0.14,0.01,0.99
7343,0,5,-0.14,0.01,0.99
7363,0,0,-0.14,0.01,0.99
7384,0,5,-0.14,0.01,0.99
7404,0,0,-0.14,0.01,0.99
7425,0,5,-0.14,0.01,0.99
7445,0,0,-0.14,0.01,0.99
7465,0,0,-0.14,0.01,0.99
7486,0,2,-0.14,0.01,0.99
7506,0,2,-0.14,0.01,0.99
7526,0,5,-0.14,0.01,0.99
7546,0,3,-0.14,0.01,0.99
7566,0,0,-0.14,0.01,0.99
7587,0,2,-0.14,0.01,0.99
7607,0,0,-0.14,0.01,0.99
7627,0,0,-0.14,0.01,0.99
7647,0,6,-0.14,0.01,0.99
7667,0,3,-0.14,0.01,0.99
7682,0,6,-0.14,0.01,0.99
7702,0,5,-0.14,0.01,0.99
7723,0,5,-0.14,0.01,0.99
7743,0,3,-0.14,0.01,0.99
7763,0,7,-0.14,0.01,0.99
7783,0,5,-0.14,0.01,0.99
7803,0,0,-0.14,0.01,0.99
7823,0,2,-0.14,0.01,0.99
7843,0,0,-0.14,0.01,0.99
7863,0,2,-0.14,0.01,0.99
7883,0,3,-0.14,0.01,0.99
7903,0,2,-0.14,0.01,0.99
7923,0,1,-0.14,0.01,0.99
7943,0,2,-0.14,0.01,0.99
7964,0,0,-0.14,0.01,0.99
7985,0,6,-0.14,0.01,0.99
8005,0,0,-0.14,0.01,0.99
8026,0,2,-0.14,0.01,0.99
8046,0,3,-0.14,0.01,0.99
8067,0,5,-0.14,0.01,0.99
8087,0,2,-0.14,0.01,0.99
8108,0,0,-0.14,0.01,0.99
8128,0,6,-0.14,0.01,0.99
8148,0,6,0.14,0.03,0.99
8164,0,0,0.14,0.03,0.99
8179,0,0,0.14,0.03,0.99
8199,0,0,-0.14,0.01,0.99
8219,0,5,-0.14,0.01,0.99
8240,0,6,-0.14,0.01,0.99
8260,0,2,-0.14,0.01,0.99
8281,0,3,-0.14,0.01,0.99
8301,0,0,-0.14,0.01,0.99
8322,0,4,-0.14,0.01,0.99
8342,0,3,-0.14,0.01,0.99
8364,0,2,-0.14,0.01,0.99
8384,0,5,-0.14,0.01,0.99
8404,0,4,-0.14,0.01,0.99
8425,0,0,-0.14,0.01,0.99
8445,0,5,-0.14,0.01,0.99
8465,0,2,-0.14,0.01,0.99
8485,0,4,-0.14,0.01,0.99
8505,0,3,-0.14,0.01,0.99
8525,0,5,-0.14,0.01,0.99
8545,0,0,-0.14,0.01,0.99
8565,0,5,-0.14,0.01,0.99
8585,0,6,-0.14,0.01,0.99
8605,0,1,-0.14,0.01,0.99
8625,0,0,-0.14,0.01,0.99
8645,0,5,-0.14,0.01,0.99
8660,0,2,-0.14,0.01,0.99
8681,0,3,-0.14,0.01,0.99
8701,0,4,-0.14,0.01,0.99
8721,0,3,-0.14,0.01,0.99
8741,0,5,-0.14,0.01,0.99
8762,0,2,-0.14,0.01,0.99
8782,0,3,-0.14,0.01,0.99
8802,0,0,-0.14,0.01,0.99
8822,0,4,-0.14,0.01,0.99
8842,0,1,-0.14,0.01,0.99
8862,0,4,-0.14,0.01,0.99
8882,0,2,-0.14,0.01,0.99
8902,0,4,-0.14,0.01,0.99
8923,0,2,-0.14,0.01,0.99
8943,0,0,-0.14,0.01,0.99
8964,0,2,-0.14,0.01,0.99
8984,0,6,-0.14,0.01,0.99
9005,0,4,-0.14,0.01,0.99
9025,0,5,-0.14,0.01,0.99
9046,0,7,-0.14,0.01,0.99
9066,0,3,-0.14,0.01,0.99
9086,0,6,-0.14,0.01,0.99
9107,0,4,-0.14,0.01,0.99
9127,0,1,-0.14,0.01,0.99
9143,0,2,-0.14,0.01,0.99
9163,0,5,-0.14,0.01,0.99
9183,0,3,-0.14,0.01,0.99
9203,0,3,-0.14,0.01,0.99
9223,0,1,-0.14,0.01,0.99
9243,0,4,-0.14,0.01,0.99
9264,0,3,-0.14,0.01,0.99
9284,0,6,-0.14,0.01,0.99
9305,0,3,-0.14,0.01,0.99
9325,0,4,-0.14,0.01,0.99
9346,0,1,-0.14,0.01,0.99
9366,0,4,-0.14,0.01,0.99
9387,0,4,-0.14,0.01,0.99
9407,0,4,-0.14,0.01,0.99
9427,0,0,-0.14,0.01,0.99
9447,0,0,-0.14,0.01,0.99
9467,0,2,-0.14,0.01,0.99
9487,0,4,-0.14,0.01,0.99
9507,0,3,-0.14,0.01,0.99
9527,0,1,-0.14,0.01,0.99
9548,0,2,-0.14,0.01,0.99
9568,0,1,-0.14,0.01,0.99
9588,0,3,-0.14,0.01,0.99
9608,0,5,-0.14,0.01,0.99
9623,0,4,-0.14,0.01,0.99
9644,0,3,-0.14,0.01,0.99
9664,0,0,-0.14,0.01,0.99
9684,0,1,-0.14,0.01,0.99
9705,0,2,-0.14,0.01,0.99
9725,0,1,-0.14,0.01,0.99
9745,0,3,-0.14,0.01,0.99
9765,0,0,-0.14,0.01,0.99
9785,0,5,-0.14,0.01,0.99
9805,0,3,-0.14,0.01,0.99
9825,0,0,-0.14,0.01,0.99
9845,0,0,-0.14,0.01,0.99
9865,0,4,-0.14,0.01,0.99
9885,0,2,-0.14,0.01,0.99
