timestamp,is_walking,fsr,x_acc,y_acc,z_acc
226426,1,137,-0.13,0.01,0.99
226448,1,135,-0.13,0.01,0.99
226468,1,137,-0.13,0.01,0.99
226488,1,138,-0.13,0.01,0.99
226508,1,135,-0.13,0.01,0.99
226528,1,129,-0.13,0.01,0.99
226548,1,137,-0.13,0.01,0.99
226568,1,129,-0.13,0.01,0.99
226588,1,131,-0.13,0.01,0.99
226604,1,118,-0.13,0.01,0.99
226619,1,122,-0.13,0.01,0.99
226639,1,120,-0.13,0.01,0.99
226659,1,117,-0.13,0.01,0.99
226679,1,101,-0.13,0.01,0.99
226699,1,116,-0.13,0.01,0.99
226719,1,117,-0.13,0.01,0.99
226739,1,124,-0.13,0.01,0.99
226759,1,112,-0.13,0.01,0.99
226780,1,128,-0.13,0.01,0.99
226802,1,120,-0.13,0.01,0.99
226822,1,119,-0.13,0.01,0.99
226842,1,120,-0.13,0.01,0.99
226863,1,117,-0.13,0.01,0.99
226883,1,75,-0.13,0.01,0.99
226904,1,46,-0.13,0.01,0.99
226924,1,4,-0.13,0.01,0.99
226945,1,4,-0.13,0.01,0.99
226965,1,4,-0.13,0.01,0.99
226985,1,4,-0.13,0.01,0.99
227006,1,4,-0.13,0.01,0.99
227026,1,4,-0.13,0.01,0.99
227046,1,4,-0.13,0.01,0.99
227066,1,4,-0.13,0.01,0.99
227086,1,4,-0.13,0.01,0.99
227101,1,4,-0.13,0.01,0.99
227121,1,4,-0.13,0.01,0.99
227143,1,7,-0.13,0.01,0.99
227164,1,4,-0.13,0.01,0.99
227184,1,4,-0.13,0.00,0.99
227205,1,4,-0.13,0.00,0.99
227225,1,4,-0.13,0.01,0.99
227246,1,4,-0.13,0.01,0.99
227266,1,4,-0.13,0.01,0.99
227287,1,4,-0.13,0.01,0.99
227307,1,4,-0.13,0.01,0.99
227328,1,4,-0.13,0.01,0.99
227348,1,4,-0.13,0.01,0.99
227368,1,4,-0.13,0.01,0.99
227388,1,4,-0.13,0.01,0.99
227408,1,4,-0.13,0.01,0.99
227428,1,11,-0.13,0.01,0.99
227448,1,52,-0.13,0.00,0.99
227468,1,54,-0.13,0.00,0.99
227488,1,46,-0.14,0.00,0.99
227508,1,32,-0.14,0.00,0.99
227530,1,7,-0.14,0.00,0.99
227550,1,14,-0.14,0.00,0.99
227565,1,4,-0.14,0.00,0.99
227586,1,28,-0.14,0.01,0.99
227606,1,4,-0.14,0.00,0.99
227627,1,4,-0.14,0.00,0.99
227647,1,4,-0.14,0.00,0.99
227667,1,4,-0.14,0.00,0.99
227687,1,4,-0.14,0.00,0.99
227707,1,4,-0.14,0.01,0.99
227727,1,4,-0.14,0.00,0.99
227747,1,4,-0.14,0.01,0.99
227767,1,4,-0.14,0.01,0.99
227787,1,4,-0.14,0.01,0.99
227807,1,4,-0.14,0.01,0.99
227827,1,4,-0.14,0.01,0.99
227847,1,4,-0.14,0.01,0.99
227867,1,4,-0.14,0.01,0.99
227889,1,4,-0.14,0.01,0.99
227909,1,4,-0.14,0.01,0.99
227930,1,62,-0.14,0.01,0.99
227950,1,101,-0.14,0.01,0.99
227971,1,129,-0.14,0.01,0.99
227991,1,157,-0.14,0.01,0.99
228012,1,158,-0.14,0.01,0.99
228032,1,158,-0.14,0.01,0.99
228047,1,162,-0.14,0.01,0.99
228067,1,176,-0.14,0.00,0.99
228087,1,169,-0.14,0.00,0.99
228107,1,163,-0.14,0.00,0.99
228127,1,154,-0.14,0.00,0.99
228147,1,145,-0.14,0.00,0.99
228167,1,149,-0.14,0.00,0.99
228188,1,116,-0.14,0.01,0.99
228208,1,106,-0.14,0.01,0.99
228230,1,96,-0.14,0.01,0.99
228250,1,71,-0.14,0.01,0.99
228271,1,59,-0.14,0.01,0.99
228291,1,34,-0.14,0.01,0.99
228312,1,27,-0.14,0.00,0.99
228332,1,27,-0.14,0.01,0.99
228353,1,16,-0.14,0.01,0.99
228373,1,4,-0.14,0.01,0.99
228393,1,4,-0.14,0.01,0.99
228414,1,4,-0.14,0.01,0.99
228434,1,13,-0.14,0.01,0.99
228454,1,4,-0.14,0.00,0.99
228474,1,4,-0.14,0.00,0.99
228494,1,4,-0.14,0.00,0.99
228514,1,4,-0.14,0.01,0.99
228529,1,4,-0.14,0.01,0.99
228549,1,4,-0.14,0.01,0.99
228570,1,4,-0.14,0.01,0.99
228592,1,4,-0.14,0.01,0.99
228613,1,4,-0.14,0.01,0.99
228633,1,4,-0.14,0.01,0.99
228654,1,4,-0.14,0.01,0.99
228674,1,4,-0.14,0.01,0.99
228695,1,4,-0.14,0.01,0.99
228715,1,4,-0.14,0.01,0.99
228736,1,4,-0.14,0.01,0.99
228756,1,4,-0.14,0.01,0.99
228776,1,4,-0.14,0.01,0.99
228796,1,4,-0.14,0.01,0.99
228816,1,4,-0.14,0.01,0.99
228836,1,4,-0.14,0.01,0.99
228856,1,4,-0.14,0.01,0.99
228876,1,4,-0.14,0.01,0.99
228896,1,4,-0.14,0.01,0.99
228916,1,4,-0.14,0.01,0.99
228936,1,4,-0.14,0.01,0.99
228958,1,4,-0.14,0.01,0.99
228978,1,4,-0.14,0.01,0.99
228998,1,4,-0.14,0.01,0.99
229013,1,4,-0.14,0.01,0.99
229033,1,4,-0.15,0.01,0.99
229054,1,4,-0.15,0.01,0.99
229074,1,4,-0.15,0.01,0.99
229094,1,4,-0.15,0.01,0.99
229114,1,4,-0.15,0.01,0.99
229134,1,4,-0.15,0.01,0.99
229154,1,4,-0.15,0.01,0.99
229174,1,4,-0.15,0.01,0.99
229194,1,4,-0.15,0.01,0.99
229214,1,7,-0.15,0.01,0.99
229234,1,31,-0.15,0.01,0.99
229254,1,42,-0.15,0.01,0.99
229274,1,57,-0.15,0.01,0.99
229295,1,82,-0.15,0.01,0.99
229317,1,107,-0.15,0.01,0.99
229338,1,123,-0.15,0.01,0.99
229358,1,140,-0.15,0.01,0.99
229379,1,143,-0.15,0.01,0.99
229399,1,149,-0.15,0.01,0.99
229420,1,154,-0.15,0.01,0.99
229440,1,154,-0.15,0.01,0.99
229460,1,166,-0.15,0.01,0.99
229476,1,169,-0.15,0.01,0.99
229496,1,173,-0.15,0.01,0.99
229516,1,179,-0.15,0.01,0.99
229536,1,183,-0.15,0.01,0.99
229556,1,185,-0.15,0.01,0.99
229576,1,185,-0.15,0.01,0.99
229596,1,182,-0.15,0.01,0.99
229616,1,175,-0.15,0.01,0.99
229637,1,160,-0.15,0.01,0.99
229659,1,152,-0.15,0.01,0.99
229680,1,151,-0.15,0.01,0.99
229700,1,146,-0.15,0.01,0.99
229721,1,134,-0.15,0.01,0.99
229741,1,116,-0.15,0.01,0.99
229762,1,115,-0.15,0.01,0.99
229782,1,114,-0.15,0.01,0.99
229803,1,112,-0.15,0.01,0.99
229823,1,110,-0.15,0.01,0.99
229843,1,111,-0.15,0.01,0.99
229863,1,108,-0.15,0.01,0.99
229883,1,112,-0.15,0.01,0.99
229903,1,128,-0.15,0.01,0.99
229923,1,135,-0.15,0.01,0.99
229943,1,113,-0.15,0.01,0.99
229958,1,99,-0.15,0.01,0.99
229979,1,85,-0.14,0.01,0.99
229999,1,62,-0.14,0.01,0.99
230022,1,56,-0.14,0.01,0.99
230042,1,63,-0.14,0.01,0.99
230063,1,64,-0.14,0.01,0.99
230083,1,53,-0.14,0.01,0.99
230104,1,49,-0.14,0.01,0.99
230124,1,42,-0.14,0.01,0.99
230145,1,19,-0.14,0.01,0.99
230165,1,20,-0.14,0.01,0.99
230185,1,7,-0.14,0.01,0.99
230206,1,4,-0.14,0.01,0.99
230226,1,4,-0.14,0.01,0.99
230246,1,4,-0.14,0.01,0.99
230266,1,4,-0.14,0.01,0.99
230286,1,4,-0.14,0.01,0.99
230306,1,4,-0.14,0.01,0.99
230326,1,4,-0.14,0.01,0.99
230346,1,4,-0.14,0.01,0.99
230366,1,4,-0.14,0.01,0.99
230388,1,4,-0.14,0.01,0.99
230408,1,4,-0.14,0.01,0.99
230428,1,4,-0.14,0.01,0.99
230444,1,4,-0.14,0.01,0.99
230464,1,4,-0.14,0.01,0.99
230484,1,4,-0.14,0.01,0.99
230505,1,4,-0.14,0.01,0.99
230525,1,4,-0.14,0.01,0.99
230545,1,4,-0.14,0.01,0.99
230565,1,4,-0.14,0.01,0.99
230585,1,4,-0.14,0.01,0.99
230605,1,3,-0.14,0.01,0.99
230625,1,4,-0.14,0.01,0.99
230645,1,4,-0.14,0.01,0.99
230665,1,4,-0.14,0.01,0.99
230685,1,4,-0.14,0.01,0.99
230705,1,4,-0.14,0.01,0.99
230725,1,4,-0.14,0.01,0.99
230748,1,4,-0.14,0.01,0.99
230768,1,4,-0.14,0.01,0.99
230789,1,4,-0.14,0.01,0.99
230809,1,4,-0.14,0.01,0.99
230830,1,4,-0.14,0.01,0.99
230850,1,4,-0.14,0.01,0.99
230871,1,4,-0.15,0.01,0.99
230891,1,4,-0.15,0.01,0.99
230906,1,4,-0.15,0.01,0.99
230926,1,4,-0.14,0.01,0.99
230946,1,4,-0.14,0.01,0.99
230966,1,4,-0.14,0.01,0.99
230986,1,29,-0.14,0.01,0.99
231006,1,88,-0.14,0.01,0.99
231026,1,113,-0.14,0.01,0.99
231046,1,121,-0.14,0.01,0.99
231066,1,114,-0.14,0.01,0.99
