timestamp,is_walking,fsr,x_acc,y_acc,z_acc
8562,0,3,0.00,0.00,0.00
8582,0,3,-0.14,0.01,0.99
8602,0,3,-0.14,0.01,0.99
8623,0,3,-0.14,0.01,0.99
8643,0,3,-0.14,0.01,0.99
8664,0,3,-0.14,0.01,0.99
8684,0,3,-0.14,0.01,0.99
8705,0,3,-0.14,0.01,0.99
8725,0,3,-0.14,0.01,0.99
8745,0,3,-0.14,0.01,0.99
8766,0,3,-0.14,0.01,0.99
8786,0,3,-0.14,0.01,0.99
8806,0,3,-0.14,0.01,0.99
8826,0,3,-0.14,0.01,0.99
8846,0,3,-0.14,0.01,0.99
8866,0,3,-0.14,0.01,0.99
8886,0,3,-0.14,0.01,0.99
8906,0,3,-0.14,0.01,0.99
8926,0,3,-0.13,0.01,0.99
8947,0,3,-0.13,0.01,0.99
8967,0,3,-0.13,0.01,0.99
8987,0,3,-0.14,0.01,0.99
9008,0,3,-0.13,0.01,0.99
9028,0,3,-0.13,0.01,0.99
9043,0,3,-0.13,0.01,0.99
9063,0,3,-0.13,0.01,0.99
9083,0,3,-0.13,0.01,0.99
9103,0,3,-0.13,0.01,0.99
9123,0,3,-0.13,0.01,0.99
9143,0,3,-0.13,0.01,0.99
9163,0,3,-0.13,0.01,0.99
9183,0,3,-0.13,0.01,0.99
9203,0,3,-0.13,0.01,0.99
9223,0,3,-0.13,0.01,0.99
9243,0,3,-0.13,0.01,0.99
9264,0,3,-0.13,0.01,0.99
9284,0,3,-0.13,0.01,0.99
9305,0,3,-0.13,0.01,0.99
9326,0,3,-0.13,0.01,0.99
9347,0,3,-0.13,0.01,0.99
9367,0,3,-0.13,0.01,0.99
9388,0,3,-0.13,0.01,0.99
9408,0,3,-0.13,0.01,0.99
9428,0,3,-0.13,0.01,0.99
9449,0,3,-0.13,0.01,0.99
9469,0,3,-0.13,0.01,0.99
9489,0,3,-0.13,0.01,0.99
9509,0,3,2.56,-0.21,0.73
9524,0,3,2.56,-0.21,0.73
9544,0,3,-0.14,0.01,0.99
9564,0,3,-0.14,0.01,0.99
9584,0,3,-0.14,0.01,0.99
9605,0,3,-0.14,0.01,0.99
9625,0,3,-0.13,0.01,0.99
9646,0,3,-0.13,0.01,0.99
9666,0,3,-0.13,0.01,0.99
9687,0,3,-0.13,0.01,0.99
9707,0,3,-0.13,0.01,0.99
9729,0,3,-0.13,0.01,0.99
9749,0,3,-0.13,0.01,0.99
9769,0,3,-0.13,0.01,0.99
9790,0,3,-0.13,0.01,0.99
9810,0,10,-0.13,0.01,0.99
9830,0,74,-0.13,0.01,0.99
9850,0,110,-0.13,0.01,0.99
9870,0,120,-0.14,0.01,0.99
9890,0,133,-0.14,0.01,0.99
9910,0,135,-0.14,0.01,0.99
9930,0,158,-0.14,0.01,0.99
9950,0,173,-0.14,0.01,0.99
9970,0,206,-0.14,0.01,0.99
9990,0,235,2.54,-1.28,-1.06
10005,0,236,2.54,-1.28,-1.06
10020,0,241,2.54,-1.28,-1.06
10040,0,246,-0.13,0.01,0.99
10060,0,254,-0.13,0.01,0.99
10081,0,266,-0.13,0.01,0.99
10101,0,276,-0.13,0.01,0.99
10121,0,296,-0.13,0.01,0.99
10141,0,298,-0.13,0.01,0.99
10161,0,303,-0.13,0.01,0.99
10181,0,293,-0.13,0.01,0.99
10202,0,291,-0.13,0.01,0.99
10222,0,282,-0.13,0.01,0.99
10243,0,281,-0.13,0.01,0.99
10263,0,278,-0.13,0.01,0.99
10284,0,280,-0.13,0.01,0.99
10304,0,286,-0.13,0.01,0.99
10324,0,286,-0.13,0.01,0.99
10345,0,309,-0.13,0.01,0.99
10365,0,317,-0.13,0.01,0.99
10385,0,321,-0.13,0.01,0.99
10405,0,324,-0.13,0.01,0.99
10425,0,323,-0.13,0.01,0.99
10446,0,325,-0.13,0.01,0.99
10466,0,335,-0.13,0.01,0.99
10486,0,335,-0.13,0.01,0.99
10501,0,345,-0.13,0.01,0.99
10521,0,348,-0.13,0.01,0.99
10542,0,358,-0.13,0.01,0.99
10562,0,356,-0.13,0.01,0.99
10583,0,363,-0.13,0.01,0.99
10603,0,355,-0.13,0.01,0.99
10624,0,341,-0.13,0.01,0.99
10644,0,334,-0.13,0.01,0.99
10664,0,340,-0.13,0.01,0.99
10684,0,332,-0.13,0.01,0.99
10704,0,323,-0.13,0.01,0.99
10724,1,319,-0.13,0.01,0.99
10744,1,312,-0.13,0.01,0.99
10764,1,302,-0.13,0.01,0.99
10784,1,296,-0.13,0.01,0.99
10805,1,298,-0.13,0.01,0.99
10825,1,297,-0.13,0.01,0.99
10845,1,295,-0.13,0.01,0.99
10865,1,298,-0.13,0.01,0.99
10886,1,300,-0.13,0.01,0.99
10906,1,300,-0.13,0.01,0.99
10927,1,303,-0.13,0.01,0.99
10947,1,304,-0.13,0.01,0.99
10968,1,304,-0.13,0.01,0.99
10983,1,303,-0.13,0.01,0.99
11003,1,295,-0.13,0.01,0.99
11023,1,293,-0.13,0.01,0.99
11043,1,282,-0.13,0.01,0.99
11063,1,274,-0.13,0.01,0.99
11083,1,272,-0.13,0.01,0.99
11103,1,274,-0.13,0.01,0.99
11123,1,273,-0.13,0.01,0.99
11144,1,273,-0.13,0.01,0.99
11164,1,269,-0.13,0.01,0.99
11185,1,247,-0.13,0.01,0.99
11205,1,247,-0.13,0.01,0.99
11226,1,253,-0.13,0.01,0.99
11246,1,251,-0.13,0.01,0.99
11267,1,246,-0.13,0.01,0.99
11287,1,237,-0.13,0.01,0.99
11308,1,227,-0.13,0.01,0.99
11328,1,219,-0.13,0.01,0.99
11348,1,212,-0.13,0.01,0.99
11369,1,201,-0.13,0.01,0.99
11389,1,204,-0.13,0.01,0.99
11409,1,201,-0.13,0.01,0.99
11429,1,207,-0.13,0.01,0.99
11449,1,206,-0.13,0.01,0.99
11464,1,202,-0.13,0.01,0.99
11484,1,200,-0.12,0.01,0.99
11505,1,198,-0.12,0.01,0.99
11526,1,195,-0.12,0.01,0.99
11546,1,192,-0.12,0.01,0.99
11567,1,197,-0.12,0.01,0.99
11587,1,202,-0.12,0.01,0.99
11608,1,209,-0.12,0.01,0.99
11628,1,199,-0.12,0.01,0.99
11649,1,186,-0.12,0.01,0.99
11669,1,178,-0.12,0.01,0.99
11689,1,169,-0.12,0.01,0.99
11710,1,139,-0.12,0.01,0.99
11730,1,131,-0.12,0.01,0.99
11750,1,132,-0.12,0.01,0.99
11770,1,127,-0.12,0.01,0.99
11790,1,134,-0.12,0.01,0.99
11810,1,135,-0.12,0.01,0.99
11830,1,139,-0.12,0.01,0.99
11850,1,145,-0.12,0.01,0.99
11871,1,165,-0.12,0.01,0.99
11891,1,169,-0.12,0.01,0.99
11911,1,178,-0.12,0.01,0.99
11931,1,181,-1.64,3.02,1.61
11947,1,185,-1.64,3.02,1.61
11962,1,186,-1.64,3.02,1.61
11982,1,184,-0.13,0.01,0.99
12002,1,180,-0.13,0.01,0.99
12022,1,183,-0.12,0.01,0.99
12042,1,177,-0.13,0.01,0.99
12062,1,171,-0.13,0.01,0.99
12082,1,180,-0.13,0.01,0.99
12102,1,175,-0.13,0.01,0.99
12123,1,177,-0.13,0.01,0.99
12143,1,174,-0.13,0.01,0.99
12164,1,174,-0.13,0.01,0.99
12184,1,174,-0.13,0.01,0.99
12206,1,165,-0.13,0.01,0.99
12226,1,153,-0.13,0.01,0.99
12247,1,145,-0.13,0.01,0.99
12267,1,136,-0.13,0.01,0.99
12288,1,139,-0.13,0.01,0.99
12308,1,133,-0.13,0.00,0.99
12328,1,122,-0.13,0.00,0.99
12348,1,133,-0.13,0.01,0.99
12368,1,129,-0.13,0.01,0.99
12388,1,116,-0.13,0.01,0.99
12408,1,122,-0.13,0.01,0.99
12428,1,123,-0.13,0.01,0.99
12443,1,127,-0.13,0.01,0.99
