is_walking,fsr_bottom,fsr_outside,top_x,top_y,top_z
0,0,0,0.064865112,0.036499023,-1.00012207
0,0,0,0.065109253,0.037612915,-1.001068115
0,0,0,0.064407349,0.035690308,-1.00088501
0,0,0,0.063690186,0.035568237,-1.002593994
0,0,0,0.064880371,0.035736084,-1.000976563
0,0,0,0.064163208,0.037002564,-1.001144409
0,0,0,0.064163208,0.036499023,-1.000274658
0,0,0,0.064651489,0.038146973,-1.000335693
0,0,0,0.0650177,0.036514282,-1.000656128
0,0,0,0.065185547,0.036361694,-0.999511719
0,0,0,0.064880371,0.036743164,-0.99961853
0,0,0,0.064758301,0.037139893,-1.00112915
0,0,0,0.063583374,0.037384033,-1.000030518
0,0,0,0.064224243,0.037246704,-1.002288818
0,0,0,0.065170288,0.036575317,-1.000106812
0,0,0,0.065841675,0.035812378,-1.00076294
0,0,0,0.066711426,0.038589478,-1.001205444
0,0,0,0.06451416,0.037094116,-1.001831055
0,0,0,0.065856934,0.036224365,-0.998718262
0,0,0,0.065948486,0.035415649,-1.000259399
0,0,0,0.063858032,0.037185669,-1.00062561
0,0,0,0.066726685,0.036026001,-1.001235962
0,0,0,0.06477356,0.036895752,-1.000213623
0,0,0,0.0650177,0.036056519,-1.002441406
0,0,0,0.064224243,0.038513184,-1.000198364
0,0,0,0.064651489,0.038467407,-1.001083374
0,0,0,0.065643311,0.037185669,-1.001831055
0,0,0,0.06489563,0.034347534,-1.000457764
0,0,0,0.065368652,0.036010742,-1.002075195
0,0,0,0.064987183,0.037857056,-1.00062561
0,0,0,0.065475464,0.03692627,-1.001113892
0,0,0,0.066009522,0.035812378,-0.999038696
0,0,0,0.067062378,0.038513184,-1.001342773
0,0,0,0.064315796,0.036514282,-1.000839233
0,0,0,0.065795898,0.038665772,-0.999725342
0,0,0,0.065917969,0.038101196,-1.001022339
0,0,0,0.063354492,0.036117554,-1.00062561
0,0,0,0.066360474,0.036605835,-0.99911499
0,0,0,0.065826416,0.037689209,-0.998901367
0,0,0,0.066040039,0.034729004,-1.001205444
0,0,0,0.063232422,0.03666687,-1.000061035
0,0,0,0.064865112,0.037063599,-0.998931885
0,0,0,0.064239502,0.03767395,-0.999603272
0,0,0,0.064620972,0.036849976,-0.999679565
0,0,0,0.064575195,0.035858154,-1.00100708
0,0,0,0.063934326,0.036483765,-1.001800537
0,0,0,0.06489563,0.038864136,-1.001342773
0,0,0,0.065536499,0.037231445,-1.001785278
0,0,0,0.064666748,0.038269043,-1.001739502
0,0,0,0.064910889,0.036651611,-1.002136231
0,0,0,0.065567017,0.036178589,-1.000747681
0,0,0,0.065460205,0.035552979,-0.999313355
0,0,0,0.063949585,0.036941528,-0.998245239
0,0,0,0.065444946,0.036773682,-0.999435425
0,0,0,0.064804077,0.036636353,-1.000915527
0,0,0,0.06578064,0.037445068,-1.000778198
0,0,0,0.06288147,0.036605835,-1.000076294
0,0,0,0.064651489,0.037536621,-1.000167847
0,0,0,0.064849854,0.036697388,-1.00076294
0,0,0,0.065689087,0.034835815,-1.000442505
0,0,0,0.065948486,0.03565979,-1.000488281
