,fsr1,fsr2,x,y,z
0,0,184.77,0.067855835,0.036636352999999997,-1.002731323
1,0,181.23,0.06671142599999999,0.029342651,-1.000015259
2,0,176.26,0.06678772,0.029373168999999998,-0.99961853
3,0,172.0,0.065597534,0.031707764,-1.000061035
4,0,169.36,0.066696167,0.029769897000000003,-1.000015259
5,0,169.42,0.061264038,0.033233643,-1.00100708
6,0,170.84,0.06730651900000001,0.02986145,-0.9985656740000001
7,0,173.0,0.066345215,0.030303955,-1.000610352
8,0,176.91,0.067337036,0.029907227,-1.00050354
9,0,183.79,0.0677948,0.030136107999999998,-1.002944946
10,0,194.53,0.067764282,0.030715942000000003,-1.000396729
11,0,206.59,0.06993103,0.036514282,-1.005661011
12,0,217.16,0.067779541,0.03187561,-1.003326416
13,0,224.39,0.068008423,0.034454346000000004,-0.9992523190000001
14,0,229.17,0.066207886,0.036773682,-0.9977416990000001
15,0,234.0,0.063293457,0.039489746,-0.9967498779999999
16,0,238.74,0.06471252400000001,0.043807982999999995,-0.998840332
17,0,242.31,0.065673828,0.041107178,-1.001586914
18,0,242.92,0.069580078,0.031936646,-1.003189087
19,0,241.89,0.067047119,0.028869628999999997,-1.001098633
20,0,242.19,0.066696167,0.029693604,-0.999816895
21,0,244.69,0.066558838,0.030441284,-1.002090454
22,0,247.7,0.068283081,0.029205322000000002,-1.000656128
23,0,246.81,0.06652832,0.030227661,-1.000396729
24,0,240.57,0.065368652,0.03036499,-1.001495361
25,0,230.83,0.06678772,0.03062439,-1.001556396
26,0,221.6,0.067138672,0.031768799,-1.0006713870000001
27,0,216.0,0.067001343,0.03012085,-0.999969482
28,0,213.1,0.067245483,0.030700684,-1.000656128
29,0,211.08,0.067596436,0.030334472999999997,-1.001647949
30,0,207.54,0.065567017,0.028900146,-1.001266479
31,0,202.39,0.06471252400000001,0.032440186,-1.0014038090000001
32,0,196.82,0.063827515,0.040588379,-0.998977661
33,0,191.44,0.065460205,0.042984009000000004,-0.998687744
34,0,187.53,0.068511963,0.038803101,-1.0034942629999999
35,0,185.48,0.069671631,0.03565979,-1.006546021
36,0,186.37,0.069961548,0.034255981,-1.002471924
37,0,188.85,0.065948486,0.034851073999999996,-0.9998626709999999
38,0,189.12,0.065048218,0.032897948999999996,-0.9996032709999999
39,0,184.0,0.065826416,0.029678345,-1.001785278
40,0,173.11,0.066558838,0.030303955,-1.000900269
41,0,162.59,0.06774902299999999,0.028823852999999997,-1.000198364
42,0,158.32,0.06970214799999999,0.030410767000000002,-1.001922607
43,0,162.39,0.06817627,0.031326294,-1.0025177
44,0,170.48,0.065216064,0.030380248999999998,-1.00038147
45,0,175.09,0.067779541,0.031524658,-1.001083374
46,0,173.11,0.066864014,0.028762817000000003,-1.000305176
47,0,165.75,0.065872192,0.037399292,-1.000228882
48,0,158.88,0.065811157,0.029159546,-1.000396729
49,0,156.62,0.065856934,0.031784058,-1.000610352
50,0,159.48,0.065994263,0.03112793,-1.000350952
