x,y,z,timeStamp
-0.00830078125,-0.994415283203125,-0.119369506835938,37874.649693375
0.0025634765625,-0.988800048828125,-0.12945556640625,37874.749059375
0.0093231201171875,-0.98724365234375,-0.139022827148438,37874.848454375
0.012359619140625,-0.988906860351562,-0.132278442382812,37874.9477910417
0.012359619140625,-0.989410400390625,-0.126174926757812,37875.0471860417
0.0105438232421875,-0.992935180664062,-0.118331909179688,37875.1465520417
0.009490966796875,-0.992340087890625,-0.112640380859375,37875.2459170417
0.0083160400390625,-0.99249267578125,-0.112274169921875,37875.3453130417
0.007415771484375,-0.993331909179688,-0.114883422851562,37875.4446780417
0.00579833984375,-0.992599487304688,-0.119491577148438,37875.5440740417
0.0097198486328125,-0.991195678710938,-0.124221801757812,37875.6434390417
0.011322021484375,-0.990524291992188,-0.1246337890625,37875.7428350417
0.0122528076171875,-0.99273681640625,-0.124618530273438,37875.8422000417
0.0095367431640625,-0.991058349609375,-0.121932983398438,37875.94158175
0.0088348388671875,-0.991897583007812,-0.1201171875,37876.04097675
0.0081329345703125,-0.991256713867188,-0.117889404296875,37876.14034275
0.0057525634765625,-0.992919921875,-0.116775512695312,37876.23973775
0.0076446533203125,-0.994293212890625,-0.119598388671875,37876.33913375
0.0092620849609375,-0.989791870117188,-0.12066650390625,37876.43849875
0.008148193359375,-0.994110107421875,-0.123046875,37876.53789475
0.0113067626953125,-0.991119384765625,-0.122329711914062,37876.63729075
0.0086517333984375,-0.99114990234375,-0.124313354492188,37876.73665575
0.0099334716796875,-0.991683959960938,-0.121978759765625,37876.83602075
0.074737548828125,-0.968795776367188,-0.128890991210938,37876.9353934167
0.080535888671875,-0.976470947265625,-0.1527099609375,37877.0347894167
0.0201568603515625,-0.98724365234375,-0.129928588867188,37877.1341544167
-0.0259246826171875,-0.981277465820312,-0.13232421875,37877.2335504167
0.0010986328125,-0.992965698242188,-0.118927001953125,37877.3329154167
0.0254974365234375,-0.990692138671875,-0.125762939453125,37877.4323114167
0.0155792236328125,-0.992156982421875,-0.116836547851562,37877.5316764167
0.009735107421875,-0.990020751953125,-0.12701416015625,37877.6310724167
0.0037384033203125,-0.992828369140625,-0.124435424804688,37877.7304684167
0.0120697021484375,-0.990386962890625,-0.127655029296875,37877.8298634167
0.009429931640625,-0.993545532226562,-0.1231689453125,37877.9292575417
0.0008544921875,-0.989852905273438,-0.132583618164062,37878.0286225417
-0.0131683349609375,-0.9910888671875,-0.13238525390625,37878.1280185417
0.0161895751953125,-0.994033813476562,-0.1129150390625,37878.2274145417
0.0227813720703125,-0.983047485351562,-0.0999908447265625,37878.3268105417
-0.00030517578125,-0.994033813476562,-0.132354736328125,37878.4262055417
-0.00433349609375,-0.99365234375,-0.116058349609375,37878.5256015417
0.0023040771484375,-0.991806030273438,-0.120834350585938,37878.6249975417
0.002044677734375,-0.994277954101562,-0.113189697265625,37878.7243935417
0.006072998046875,-0.992584228515625,-0.121444702148438,37878.8237885417
0.0111846923828125,-0.99163818359375,-0.121597290039062,37878.92311125
0.00518798828125,-0.991928100585938,-0.122146606445312,37879.02250625
0.0091552734375,-0.991500854492188,-0.12091064453125,37879.12187125
0.0095977783203125,-0.994094848632812,-0.113357543945312,37879.22126725
0.00738525390625,-0.991912841796875,-0.116607666015625,37879.32063225
-0.002655029296875,-0.989288330078125,-0.11761474609375,37879.42002825
0.0136871337890625,-0.992050170898438,-0.124954223632812,37879.51942425
0.007965087890625,-0.992019653320312,-0.1273193359375,37879.61878925
-0.01556396484375,-0.995010375976562,-0.122421264648438,37879.71818525
0.0024566650390625,-0.992996215820312,-0.12005615234375,37879.81755025
0.008087158203125,-0.986557006835938,-0.124908447265625,37879.9169
0.0173797607421875,-0.995635986328125,-0.119171142578125,37880.016296
0.013031005859375,-0.9896240234375,-0.122879028320312,37880.115661
0.0149078369140625,-0.993545532226562,-0.11907958984375,37880.215057
0.008453369140625,-0.9891357421875,-0.123672485351562,37880.314422
