is_walking,fsr1,fsr2,top_x,top_y,top_z,side_x,side_y,side_z,corner_x,corner_y,corner_z,front_x,front_y,front_z
0,0,0,0.067214966,0.035476685,-0.998748779,0.01159668,-0.996902466,-0.033752441,0.035507202,-0.999298096,-0.007080078,0.047393799,-0.996383667,-0.010192871
0,0,0,0.066558838,0.034286499,-1.000671387,0.013793945,-0.997131348,-0.034378052,0.036956787,-0.999664307,-0.007720947,0.04826355,-0.996429443,-0.00894165
0,0,0,0.065567017,0.035888672,-1.000961304,0.011520386,-0.996902466,-0.035461426,0.037857056,-0.999542236,-0.006515503,0.047180176,-0.996109009,-0.010604858
0,0,0,0.06628418,0.036453247,-1.001953125,0.013183594,-0.996246338,-0.034881592,0.036529541,-0.998916626,-0.007217407,0.048812866,-0.997344971,-0.009689331
0,0,0,0.067459106,0.03729248,-0.998596191,0.013442993,-0.997329712,-0.034759521,0.035339355,-0.999816895,-0.007461548,0.047729492,-0.996276855,-0.009796143
0,0,0,0.067520142,0.035583496,-0.999298096,0.011535645,-0.996292114,-0.035644531,0.03678894,-0.999542236,-0.007614136,0.049423218,-0.996398926,-0.010910034
0,0,0,0.06741333,0.037063599,-1.000015259,0.013580322,-0.997924805,-0.035125732,0.036056519,-0.99887085,-0.008163452,0.047531128,-0.996612549,-0.00920105
0,0,0,0.068405151,0.036697388,-1.000946045,0.012619019,-0.996902466,-0.03527832,0.037475586,-0.998886108,-0.007904053,0.047668457,-0.996566772,-0.010681152
0,0,0,0.066513062,0.034820557,-0.999526978,0.013244629,-0.997055054,-0.032684326,0.036819458,-0.999542236,-0.007400513,0.047897339,-0.996688843,-0.010803223
0,0,0,0.067520142,0.036178589,-0.999801636,0.013168335,-0.997589111,-0.03338623,0.036773682,-0.999145508,-0.007003784,0.049087524,-0.997116089,-0.009872437
0,0,0,0.065765381,0.035293579,-1.000457764,0.012237549,-0.995574951,-0.036102295,0.037216187,-0.999191284,-0.00630188,0.047805786,-0.995727539,-0.010070801
0,0,0,0.068466187,0.035293579,-0.999053955,0.013580322,-0.996551514,-0.033660889,0.03666687,-0.999847412,-0.006546021,0.048355103,-0.996856689,-0.009765625
0,0,0,0.067214966,0.035552979,-1.000869751,0.011001587,-0.99597168,-0.035598755,0.036560059,-0.998382568,-0.007064819,0.047470093,-0.99659729,-0.010040283
0,0,0,0.067367554,0.036880493,-1.000091553,0.012176514,-0.996566772,-0.033493042,0.036056519,-0.999572754,-0.007583618,0.047821045,-0.996826172,-0.010375977
0,0,0,0.066116333,0.035202026,-1.001068115,0.013763428,-0.997528076,-0.03565979,0.036605835,-0.999328613,-0.007797241,0.048156738,-0.996231079,-0.009979248
0,0,0,0.067657471,0.037231445,-0.999832153,0.011886597,-0.996810913,-0.035415649,0.036941528,-0.999252319,-0.007369995,0.048919678,-0.99671936,-0.010025024
0,0,0,0.065872192,0.036010742,-1.001754761,0.012054443,-0.996170044,-0.03515625,0.03527832,-0.999038696,-0.007171631,0.048370361,-0.995422363,-0.009963989
0,0,0,0.067947388,0.035995483,-1.000228882,0.012924194,-0.997344971,-0.034194946,0.036987305,-0.998901367,-0.007247925,0.048339844,-0.996765137,-0.009475708
0,0,0,0.065826416,0.035629272,-1.00151062,0.012481689,-0.997879028,-0.034790039,0.035705566,-1,-0.00743103,0.048538208,-0.997116089,-0.010238647
0,0,0,0.067077637,0.037612915,-1.00239563,0.011520386,-0.996246338,-0.034210205,0.036865234,-0.999206543,-0.007522583,0.047927856,-0.996292114,-0.01008606
0,0,0,0.066375732,0.036483765,-0.999359131,0.01322937,-0.995315552,-0.036270142,0.036758423,-0.999481201,-0.007888794,0.047698975,-0.996429443,-0.010971069
0,0,0,0.067977905,0.036743164,-1.002197266,0.012496948,-0.997634888,-0.031967163,0.036697388,-0.998657227,-0.006942749,0.047531128,-0.996368408,-0.009140015
0,0,0,0.067901611,0.035705566,-1.003677368,0.013000488,-0.99710083,-0.035614014,0.036773682,-0.999542236,-0.007827759,0.048461914,-0.996337891,-0.009918213
0,0,0,0.066513062,0.035003662,-1.001159668,0.01423645,-0.996368408,-0.034072876,0.036178589,-1.000244141,-0.007339478,0.048248291,-0.997131348,-0.009735107
0,0,0,0.067779541,0.037063599,-1.002090454,0.0131073,-0.997344971,-0.036697388,0.036697388,-0.998916626,-0.0078125,0.048110962,-0.997406006,-0.010269165
0,0,0,0.066040039,0.035812378,-1.000274658,0.012420654,-0.998123169,-0.03465271,0.036911011,-0.99937439,-0.007339478,0.047744751,-0.995864868,-0.010238647
0,0,0,0.066696167,0.035934448,-0.999771118,0.011474609,-0.995513916,-0.034637451,0.036575317,-0.998382568,-0.007904053,0.048751831,-0.996963501,-0.009078979
0,0,0,0.067001343,0.036972046,-1.002029419,0.012557983,-0.995819092,-0.035720825,0.036804199,-0.998901367,-0.007995605,0.048400879,-0.99609375,-0.00894165
0,0,0,0.066146851,0.036590576,-0.999649048,0.012084961,-0.997299194,-0.034744263,0.036804199,-0.999145508,-0.007858276,0.048568726,-0.996505737,-0.010498047
0,0,0,0.066619873,0.038223267,-0.99937439,0.012512207,-0.996841431,-0.034835815,0.037261963,-0.998931885,-0.006958008,0.048812866,-0.997680664,-0.010025024
0,0,0,0.066314697,0.036880493,-1.000778198,0.013595581,-0.997802734,-0.035934448,0.036911011,-0.999404907,-0.006942749,0.048736572,-0.996765137,-0.010162354
0,0,0,0.067459106,0.037200928,-1.001464844,0.013275146,-0.996749878,-0.036590576,0.0362854,-0.999298096,-0.006790161,0.047454834,-0.997360229,-0.009460449
0,0,0,0.066574097,0.035217285,-1.000854492,0.011322021,-0.995300293,-0.035507202,0.036453247,-1.000152588,-0.00718689,0.047607422,-0.996109009,-0.010223389
