is_walking,fsr1_med,fsr2_med,x_mean,y_mean,z_mean,x_var,y_var,z_var,x_energy,y_energy,z_energy
0.0,0.0,0.0,0.06709512079166666,0.036409060145833345,-1.0005779266458332,8.433521609140832e-07,7.159516947547604e-07,1.3229499193449188e-06,7.860288542708418e-07,6.89731565551263e-07,1.2948207349338038e-06
0.0,0.0,0.0,0.06693808243750003,0.03634643560416668,-1.0003363291249998,7.611381763603854e-07,9.134491197911357e-07,9.964850827444706e-07,7.452628908486998e-07,8.885090261099254e-07,9.64658243094733e-07
0.0,0.0,0.0,0.06680266077083336,0.03613376629166667,-1.000264485666666,5.06852341835729e-07,8.714247806883005e-07,7.975028083075926e-07,4.958175033749389e-07,8.501373407447899e-07,7.499893927530304e-07
0.0,0.0,0.0,0.0669158300416667,0.03630415608333334,-1.000482241270833,6.112421799871992e-07,6.78431236934078e-07,7.443916269871842e-07,5.985075130845941e-07,6.513092072107841e-07,7.2877185290725e-07
0.0,0.0,0.0,0.06697495777083337,0.036150932375,-1.0004879633333328,6.155719561508205e-07,5.437106282088798e-07,6.798604406512826e-07,6.017143037336051e-07,5.297796884268562e-07,6.644827569411122e-07
0.0,0.0,0.0,0.06708653762500004,0.0360364914375,-1.0004148483333324,5.653112236532496e-07,1.0402989265626363e-06,6.962791632885961e-07,5.508609987883981e-07,1.0093268909179651e-06,6.69492702886296e-07
0.0,0.0,0.0,0.06712977089583337,0.03599357608333332,-1.0002390543124993,6.558871792910609e-07,1.4639364378903322e-06,9.62614510396549e-07,6.371773913896697e-07,1.4192445856978261e-06,9.18920440276937e-07
0.0,0.0,0.0,0.06700770056250001,0.03572718299999999,-1.00013542175,3.6764165141358544e-05,6.408349905312552e-06,1.2830219944286743e-06,3.599821087758472e-05,6.2309532395299805e-06,1.2494497462903105e-06
0.0,0.0,0.0,0.06739393870833331,0.03559780118750001,-1.0001700719791666,5.980236957470904e-05,1.9211603876088457e-05,1.2008609974783963e-06,5.780948734652903e-05,1.75907583180561e-05,1.1718533644850479e-06
0.0,0.0,0.0,0.06809043889583334,0.035638173479166674,-1.000096638958333,2.266594002216859e-05,1.5245887914178298e-05,9.095288056507707e-07,2.1134773736567948e-05,1.4501568977017132e-05,8.879995476129223e-07
0.0,35.17100000000001,32.783,0.06792640685416669,0.03564071660416666,-1.0002654393333328,4.8890732384685134e-06,3.4420345794369246e-06,1.0309714394719166e-06,4.7731312837545685e-06,3.367698906368358e-06,1.0094309720234176e-06
0.0,6.198650000000001,14.0995,0.06768067677083334,0.03574689237499999,-1.000192006479166,1.237802037098753e-05,1.4956445550189252e-05,9.659185235432237e-07,1.2050147740775558e-05,1.4610379222110735e-05,9.373842164999047e-07
0.0,0.0,19.201999999999998,0.06773694360416667,0.035758018583333336,-0.9998973210833327,0.00022271567514003523,0.00020075175997335602,4.464222835591568e-06,0.000216467366210185,0.0001935884231875358,4.313908646659455e-06
0.0,0.0,32.7735,0.06786791485416668,0.036229451604166664,-1.0000556310208333,0.0002162263871572045,0.00018293301703302408,4.685785870836923e-06,0.00020821562436729418,0.00017741982278968944,4.449099477859368e-06
0.0,0.0,35.513999999999996,0.06721496585416668,0.035203297979166666,-0.998888015729166,0.0001499034732750171,8.277781188355878e-05,2.5342620927161764e-05,0.00014537931880169506,8.096814522293852e-05,2.450137417096825e-05
1.0,0.0,39.254,0.06483268739583335,0.06008656812499999,-0.9930489858124991,0.0004127045872008385,0.0027900732212457107,0.0003632149008714468,0.00040176055360205155,0.0027267637692348842,0.00035461379915179404
1.0,0.0,96.1575,0.06374613443750002,0.07735919949999999,-0.9950230916874996,0.0007106313568376848,0.0025160642414673627,0.00038214197542009974,0.0006952033236513224,0.0024515461356333697,0.000374180422330928
