,fsr1_med,fsr2_med,is_walking,x_energy,x_mean,x_var,y_energy,y_mean,y_var,z_energy,z_mean,z_var
1224,0.0,331.09000000000003,1.0,0.0,0.07098579406249997,0.0001427027781592187,0.0,0.05825805660416663,0.00036690734945081104,0.0,-0.9990844727083331,6.813803627080405e-06
1249,0.0,326.985,1.0,0.0,0.0695994695,0.00011652864344915708,0.0,0.06675211587499999,0.00040580145641967686,0.0,-0.9980560938333332,9.457488903424172e-06
1274,0.0,336.905,1.0,0.0,0.07026926670833333,0.00014397872763611047,0.0,0.06652355197916666,0.0005150772263991786,0.0,-0.9980688094583337,1.0196415826382161e-05
1299,0.0,333.64,1.0,0.0,0.07151953372916667,0.00011511812877678111,0.0,0.057411829666666636,0.00045194206295824326,0.0,-0.9984273910833344,1.0956340372894305e-05
1324,0.0,348.21000000000004,1.0,0.0,0.06995073954166664,9.563481012792178e-05,0.0,0.07116699218749999,0.00041148757907087115,0.0,-0.9979467392500005,1.1045435451939464e-05
1349,0.0,362.70000000000005,1.0,0.0,0.07087389631249996,0.0002163587592987534,0.0,0.06729539235416661,0.00037469884091380194,0.0,-0.9985914230416668,1.4105853076095547e-05
1374,0.0,335.15,1.0,0.0,0.0688511530833333,0.0003140858477848877,0.0,0.06029955547916662,0.00034764654794596384,0.0,-0.9991763432916666,1.799230484041898e-05
1399,0.0,359.5,1.0,0.0,0.07013734185416665,0.000252248324863393,0.0,0.06254418695833332,0.0006890265582172619,0.0,-0.9987955093958331,2.2413678859315604e-05
1424,0.0,338.245,1.0,0.0,0.07035128274999998,0.00015610352550564154,0.0,0.057332038916666626,0.0007109948098486401,0.0,-0.999751091020833,3.4153394344031126e-05
1449,0.0,346.40999999999997,1.0,0.0,0.06846872966666663,0.00021682912735876528,0.0,0.06476275129166663,0.00038589393223432966,0.0,-0.9992678960416664,9.846531426552561e-06
1474,0.0,374.68,1.0,0.0,0.06989097600000001,0.0002496979215565647,0.0,0.05903434760416663,0.00034257835550206264,0.0,-0.9995139440833336,3.806965341395652e-05
1499,0.0,370.52,1.0,0.0,0.06982167566666668,0.00015665758383241738,0.0,0.049523035770833286,0.00027611561524699783,0.0,-0.9999475479583334,4.067312523776015e-05
1524,0.0,376.12,1.0,0.0,0.06811269125000001,0.00011686117969189021,0.0,0.06111431124999999,0.0003036974129840807,0.0,-0.9996538162499999,1.3222641976143972e-05
1549,0.0,358.78,1.0,0.0,0.06916173300000002,0.00011170264974043743,0.0,0.05493640906250002,0.0003476374549450492,0.0,-0.99972407025,1.0274081565256785e-05
1574,0.0,357.34000000000003,1.0,0.0,0.06781196595833336,0.00016210889724622868,0.0,0.05252329516666667,0.0004434940796999781,0.0,-1.0003318786666668,6.864882704608473e-06
1599,0.0,357.135,1.0,0.0,0.0680367152291667,0.0001292736273538685,0.0,0.05934302012500001,0.000406905199153869,0.0,-0.9995889663958336,1.2142380037743408e-05
1624,0.0,322.99,1.0,0.0,0.0691124598541667,6.069284093779229e-05,0.0,0.053089777645833336,0.00026389410466231796,0.0,-0.9991928736458336,1.1710888286289549e-05
1649,0.0,354.375,1.0,0.0,0.06898943581250001,0.00015755476181974503,0.0,0.058673858687499976,0.00035514469945956573,0.0,-0.9996118545833336,1.3626486877839026e-05
1674,0.0,336.025,1.0,0.0,0.0703191756875,0.00020777777731689865,0.0,0.05761337283333331,0.0004875399151495803,0.0,-0.9999863306666668,1.5053316133082163e-05
1699,0.0,334.44,1.0,0.0,0.06975968677083334,0.0001965449314651153,0.0,0.050741831458333324,0.0005961404137238846,0.0,-0.9988120396666669,2.9531802651822085e-05
1724,0.0,338.87,1.0,0.0,0.07066186270833336,0.0001376986994360124,0.0,0.053842544583333346,0.0005130537553245571,0.0,-0.9983485539375002,2.6933613437016283e-05
1749,0.0,343.0,1.0,0.0,0.07060178120833337,0.00012175094676685254,0.0,0.048831304041666655,0.00024989644569653864,0.0,-1.000040372229167,8.698944134894396e-06
1774,0.0,352.86,1.0,0.0,0.06959279379166672,0.0002594651836413284,0.0,0.05605443325,0.0004742018070061001,0.0,-0.9997390111250003,1.3067993721285768e-05
1799,0.0,356.13,1.0,0.0,0.07075277970833338,0.0003361939057881329,0.0,0.05182011916666665,0.0005513336687528621,0.0,-0.9991623560416668,1.4836634880696933e-05
1824,0.0,363.1,1.0,0.0,0.06970659895833338,0.0002611306356918869,0.0,0.04719765977083331,0.00044933745326259267,0.0,-0.9994958242291667,1.8709764932530616e-05
1849,0.0,359.865,1.0,0.0,0.06907717383333337,0.00042966225163614034,0.0,0.054323832166666676,0.0004590718263285706,0.0,-0.9991270701041661,3.708701871579095e-05
1874,0.0,363.09000000000003,1.0,0.0,0.06988016766666669,0.0003918139681696685,0.0,0.04382737479166666,0.00033197743775868814,0.0,-0.9993775684999996,3.255901729088778e-05
1899,0.0,373.395,1.0,0.0,0.06941477466666669,0.0001897572335863209,0.0,0.0513734818333333,0.0005216819194203996,0.0,-0.9991696675416663,2.976308633401375e-05
1924,0.0,374.29,1.0,0.0,0.07055282600000003,0.0002780310517938024,0.0,0.04853916177083333,0.0005089360239977608,0.0,-0.9996795654999997,4.772153298636132e-05
1949,0.0,378.35,1.0,0.0,0.06720956160416669,0.00017991702224910656,0.0,0.049681027791666665,0.0006841743596007006,0.0,-1.0006526311458332,2.415125714696908e-05
1974,0.0,370.905,1.0,0.0,0.06711196893750003,0.00010389054311209311,0.0,0.05340067549999999,0.0006199416151302137,0.0,-0.9997259775833331,1.9936782211926708e-05
1999,0.0,370.53499999999997,1.0,0.0,0.06742191318750004,0.0001639166569487467,0.0,0.047128041583333315,0.0003730688564764426,0.0,-0.999643961645833,2.0132512373244614e-05
2024,0.0,381.105,1.0,0.0,0.06756909693750006,0.00021442311392603675,0.0,0.05538113912499998,0.00044261196685261537,0.0,-0.9997520447499998,1.821253340997784e-05
2049,0.0,372.025,1.0,0.0,0.06684398650000004,0.00019549131783119789,0.0,0.05398845677083331,0.0004713818234725039,0.0,-1.0003751119583326,1.7278063549460327e-05
2074,0.0,381.595,1.0,0.0,0.06602986647916667,0.00015564871532802865,0.0,0.051335334770833324,0.0003582476259473612,0.0,-0.9997329712083328,7.140707845961455e-06
2099,0.0,374.40999999999997,1.0,0.0,0.06688626604166668,0.00010052368901163912,0.0,0.050647417625,0.00036280080319901276,0.0,-0.9994808832708331,9.862681291977728e-06
2124,0.0,371.755,1.0,0.0,0.06688626604166674,0.00014898691955060597,0.0,0.044530868500000036,0.00024590105046377555,0.0,-1.0005451838333328,1.159363612682389e-05
2149,0.0,374.045,1.0,0.0,0.06595007577083337,0.00021308408760221164,0.0,0.05522282918749999,0.0004864273059214068,0.0,-0.9999895096249992,1.0589258066227887e-05
2174,0.0,385.015,1.0,0.0,0.06711451216666668,0.0003833697325916655,0.0,0.05006217960416661,0.0005167258104018111,0.0,-0.9994729359999989,3.056914683872277e-05
2199,0.0,386.59000000000003,0.0,0.0,0.06369781497916667,0.0002713581513713663,0.0,0.05036671956249997,0.0002882042018889857,0.0,-1.000597635916666,9.289272393159573e-06
2224,0.0,209.655,0.0,0.0,0.06584390010416667,0.00024145578100982445,0.0,0.05082893368749997,0.0005623739982585104,0.0,-0.9992370605624994,2.50610969991404e-05
2249,0.0,186.18,0.0,0.0,0.06714979810416667,0.0002126602264458204,0.0,0.033144950854166653,0.00043080269248580073,0.0,-0.9994881947916662,2.284271564460362e-05
2274,0.0,183.8,0.0,0.0,0.06609249112500001,2.0095037304180374e-05,0.0,0.026774406374999987,1.4601881165632785e-05,0.0,-1.0004733403333324,1.441087677195819e-06
2299,0.0,288.505,1.0,0.0,0.06678899127083338,7.83796500460655e-05,0.0,0.02346388493749998,0.00012079351509226952,0.0,-0.9991029104166661,3.9180838395114334e-05
2324,0.0,322.36,1.0,0.0,0.0639746983541667,0.0006467773386663326,0.0,0.03524398806249996,0.0007676683275479965,0.0,-1.0013230642499993,0.00039693181884618096
2349,0.0,326.28999999999996,1.0,0.0,0.06471252433333334,0.0007507050367942814,0.0,0.050666809124999955,0.0004835477317589821,0.0,-0.9997444153333325,4.2144848323371675e-05
2374,0.594975,386.495,1.0,0.0,0.06687672925000002,0.00035242810902781906,0.0,0.04468917849999995,0.0003213200841514827,0.0,-0.999716440916666,5.328659036816897e-05
