is_walking,medial_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
1,0,236.87,0.03626,-0.99614,-0.026995,0.00048845,1.28E-05,8.59E-05,0.0017931,0.9923,0.00081282
1,0,236.01,0.035213,-0.99663,-0.027623,0.00030081,1.41E-05,8.80E-05,0.0015345,0.99328,0.0008492
1,0,251.52,0.036892,-0.99614,-0.029163,0.00021357,5.17E-06,8.72E-05,0.0015701,0.9923,0.00093584
1,0,244.12,0.03153,-0.99605,-0.030609,0.00022217,3.23E-06,6.82E-05,0.0012117,0.99212,0.0010037
1,0,269.8,0.032548,-0.99588,-0.029424,0.00027993,7.22E-06,6.06E-05,0.0013334,0.99179,0.00092512
1,0,282.58,0.032152,-0.99593,-0.027269,0.00025541,6.21E-06,6.39E-05,0.0012838,0.99189,0.00080615
1,0,272.56,0.029603,-0.99635,-0.028192,0.00019412,2.81E-06,6.79E-05,0.0010664,0.99272,0.00086132
1,0,285.53,0.035001,-0.99628,-0.028227,0.00020048,3.24E-06,5.25E-05,0.0014214,0.99258,0.00084817
1,0,293.77,0.030235,-0.99615,-0.026427,0.00020346,2.62E-06,3.11E-05,0.0011134,0.99231,0.00072882
1,0,299.01,0.022039,-0.9958,-0.026204,0.00011945,3.08E-06,6.91E-05,0.00060267,0.99162,0.00075426
1,0,312.76,0.028453,-0.99567,-0.025785,0.00022977,3.06E-06,5.93E-05,0.0010346,0.99136,0.00072297
1,0,304.32,0.029762,-0.99607,-0.026713,0.00023688,2.83E-06,4.77E-05,0.0011177,0.99216,0.00076028
1,0,314.15,0.031426,-0.99638,-0.028135,0.00035461,9.19E-06,0.00011929,0.0013348,0.99277,0.00090837
1,0,315.86,0.032215,-0.99662,-0.028159,0.0004104,9.50E-06,0.00010902,0.0014397,0.99326,0.00089969
1,0,307.73,0.030618,-0.99649,-0.028582,0.00032413,1.13E-05,5.63E-05,0.0012548,0.99299,0.00087205
1,0,326.63,0.033078,-0.99644,-0.027519,0.00026082,1.05E-05,6.37E-05,0.0013495,0.99291,0.00081968
1,0,327.01,0.026041,-0.99651,-0.028395,0.00019781,8.04E-06,9.59E-05,0.00087183,0.99304,0.00090015
1,0,339.65,0.02816,-0.99646,-0.030579,0.0002879,1.04E-05,0.00012243,0.0010749,0.99294,0.001055
1,0,347.23,0.023664,-0.99633,-0.029343,0.0003819,8.84E-06,0.00010786,0.00093395,0.99268,0.00096661
1,0,342.73,0.023486,-0.99648,-0.028883,0.00027113,8.98E-06,9.89E-05,0.0008171,0.99299,0.00093105
1,0,333.48,0.026199,-0.99722,-0.029163,0.00024278,6.01E-06,8.65E-05,0.00092411,0.99445,0.00093518
1,0,333.22,0.020334,-0.99709,-0.029463,0.00028523,1.32E-05,0.00010252,0.00069277,0.99421,0.00096844
1,0,341.18,0.021397,-0.99671,-0.02947,0.00031436,1.21E-05,9.29E-05,0.00076564,0.99344,0.00095944
1,0,342.19,0.021447,-0.99693,-0.029008,0.00037092,4.07E-06,6.59E-05,0.00082317,0.99388,0.00090603
1,0,339.61,0.022699,-0.99693,-0.029125,0.00040124,4.08E-06,8.88E-05,0.00090811,0.99387,0.00093519
1,0,350.32,0.023295,-0.99684,-0.028657,0.00030904,3.35E-06,9.46E-05,0.00084528,0.99369,0.00091385
1,0,354.63,0.021657,-0.99684,-0.028753,0.00022336,5.54E-06,7.62E-05,0.00068771,0.99369,0.00090134
1,0,360.1,0.017514,-0.99685,-0.027474,0.00016863,7.02E-06,8.73E-05,0.00047185,0.99371,0.00084026
1,0,372.43,0.017168,-0.99665,-0.027596,0.0002981,4.78E-06,0.00010325,0.00058664,0.99332,0.00086263
1,0,359.34,0.017919,-0.99667,-0.028145,0.00033056,6.65E-06,8.80E-05,0.00064477,0.99336,0.00087832
1,0,349.62,0.021184,-0.99649,-0.028412,0.00024899,9.52E-06,9.11E-05,0.00069255,0.99299,0.00089641
1,0,349.28,0.021269,-0.99628,-0.02861,0.0002453,6.46E-06,7.30E-05,0.00069258,0.99257,0.00088996
1,0,360.81,0.0235,-0.99615,-0.028465,0.00024577,5.24E-06,7.01E-05,0.00079291,0.99233,0.00087887
1,0,361.98,0.022642,-0.99637,-0.029953,0.00025502,9.59E-06,6.12E-05,0.00076239,0.99275,0.00095706
1,0,363.04,0.024173,-0.99677,-0.029641,0.00033505,1.24E-05,6.66E-05,0.00091241,0.99357,0.00094382
1,0,362.88,0.025814,-0.99671,-0.028473,0.00028181,1.19E-05,9.62E-05,0.0009423,0.99344,0.00090497
1,0,362.61,0.024977,-0.99605,-0.027661,0.00036151,1.14E-05,9.29E-05,0.00097783,0.99212,0.00085605
1,0,370.32,0.026896,-0.99593,-0.027583,0.00037572,6.52E-06,7.78E-05,0.0010913,0.99189,0.00083704
1,0,375.69,0.021892,-0.99634,-0.028348,0.00027593,6.14E-06,0.00010311,0.00074943,0.99271,0.00090458
1,0,375.13,0.021319,-0.99641,-0.030638,0.00032382,1.11E-05,0.00012878,0.00077158,0.99285,0.0010648
1,0,366.12,0.028893,-0.9962,-0.030533,0.00038878,9.84E-06,0.00010388,0.0012155,0.99242,0.001034
0,0,216.69,0.030582,-0.99549,-0.029366,0.00024073,3.89E-06,7.25E-05,0.001171,0.99101,0.0009333
0,0,148.52,0.014649,-0.99704,-0.032,0.00023315,1.88E-05,0.00064185,0.00044288,0.99411,0.0016525
0,0,321.72,-0.0013221,-0.99804,-0.033358,0.0003259,5.02E-05,0.00073771,0.00032086,0.99614,0.0018351
1,0,347.68,0.0038691,-0.99714,-0.030665,0.00054714,4.14E-05,0.00039309,0.00055072,0.99432,0.0013252
1,0,356.24,0.019141,-0.99637,-0.028839,0.00034266,9.53E-06,0.00023027,0.00070415,0.99277,0.0010587
