is_walking,median_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
1,-0.17426,0.2573,0.40861,0.0075262,-0.41417,-0.52174,-0.78217,-0.46429,0.093647,-0.010508,-0.035474
1,-0.17426,0.3736,1.1464,0.16238,-0.42909,-0.47814,-0.73334,-0.59142,0.91404,-0.16561,-0.10557
1,-0.17426,0.44749,0.49498,0.44997,0.33835,-0.45771,-0.80374,-0.76807,0.20226,-0.46473,-0.74177
1,-0.17426,0.49448,-0.62517,1.2243,0.43343,-1.0336,-0.75151,-0.45438,-0.97802,-1.2292,-0.60616
1,-0.17426,0.61778,0.25144,1.5119,0.61207,-0.27736,-0.75378,-0.53528,0.020158,-1.5172,-0.77295
1,-0.17426,0.54209,0.43034,0.62695,0.21641,-0.22862,-0.7799,-0.63104,0.2122,-0.63091,-0.57407
1,-0.17426,0.63024,0.65776,-0.058841,-0.38987,0.57842,-0.057735,-0.040062,0.71391,0.044886,0.21533
1,-0.17426,0.64557,0.76559,-0.58978,-0.4001,0.96086,-0.022535,-0.12484,0.95633,0.58774,0.16906
1,-0.17426,0.57267,0.54733,-0.30219,-0.58045,0.36948,0.18185,-0.56005,0.52903,0.28862,0.021722
1,-0.17426,0.74215,0.88354,-0.19158,-0.12723,-0.06451,0.091012,-0.49896,0.74788,0.19999,-0.25744
1,-0.17426,0.74556,-0.078214,-0.34643,-0.50072,-0.49644,-0.18831,-0.23315,-0.356,0.34401,0.17151
1,-0.17426,0.8589,0.21139,-0.23582,-1.4319,0.12112,0.079658,-0.014141,0.11329,0.23322,0.99694
1,-0.17426,0.92687,-0.40308,0.051771,-0.90491,0.76549,-0.097476,-0.13442,-0.21244,-0.054822,0.52578
1,-0.17426,0.88652,-0.42741,-0.28007,-0.70878,0.0061647,-0.08158,-0.20838,-0.48248,0.28862,0.33622
1,-0.17426,0.80357,-0.05662,-1.9171,-0.82816,-0.18817,-0.41882,-0.31074,-0.23518,1.9061,0.35824
1,-0.17426,0.80124,-0.8582,-1.6295,-0.95607,0.10282,0.39759,-0.1785,-0.7698,1.6402,0.53553
1,-0.17426,0.87262,-0.71291,-0.78888,-0.95905,0.30251,0.27269,-0.25791,-0.6014,0.78716,0.48756
1,-0.17426,0.88168,-0.70608,-1.2756,-0.76208,0.69022,-0.6391,-0.4808,-0.46845,1.2746,0.20285
1,-0.17426,0.85854,-0.53497,-1.2756,-0.81196,0.89807,-0.63796,-0.29176,-0.27216,1.2635,0.35829
1,-0.17426,0.95458,-0.45351,-1.0765,-0.61243,0.26604,-0.72085,-0.24388,-0.41735,1.0641,0.24454
1,-0.17426,0.99323,-0.67738,-1.0765,-0.65336,-0.3213,-0.47218,-0.39577,-0.78149,1.0641,0.17785
1,-0.17426,1.0423,-1.2436,-1.0986,-0.10804,-0.69647,-0.30413,-0.30414,-1.2803,1.0863,-0.14774
1,-0.17426,1.1528,-1.2909,-0.65615,-0.16006,0.19104,-0.55848,-0.17247,-1.0151,0.65421,-0.028491
1,-0.17426,1.0355,-1.1883,-0.70039,-0.39413,0.41356,-0.34615,-0.29836,-0.88073,0.69853,0.055145
1,-0.17426,0.9483,-0.74203,-0.30219,-0.50797,-0.1456,-0.020264,-0.27277,-0.77031,0.28862,0.15157
1,-0.17426,0.94525,-0.73041,0.16238,-0.59239,-0.1709,-0.36772,-0.42219,-0.77024,-0.17669,0.11719
1,-0.17426,1.0486,-0.4255,0.44997,-0.53056,-0.16768,-0.50625,-0.44613,-0.53838,-0.44258,0.058076
1,-0.17426,1.0591,-0.54276,-0.036719,-1.165,-0.10427,-0.012316,-0.5196,-0.60891,0.022728,0.47487
1,-0.17426,1.0686,-0.33352,-0.92162,-1.032,0.44434,0.30675,-0.47502,-0.26222,0.93118,0.40429
1,-0.17426,1.0672,-0.10924,-0.78888,-0.53398,0.079376,0.24998,-0.23067,-0.19314,0.78716,0.1972
1,-0.17426,1.0648,-0.22363,0.6712,-0.18777,0.62572,0.19321,-0.25791,-0.11104,-0.67523,-0.063566
1,-0.17426,1.1339,0.03864,0.93667,-0.15452,0.72313,-0.36091,-0.38256,0.15119,-0.93004,-0.1649
1,-0.17426,1.1821,-0.64526,0.029649,-0.48068,0.039069,-0.40405,-0.17363,-0.63886,-0.021586,0.19512
1,-0.17426,1.1771,-0.72357,-0.12521,-1.457,0.36735,0.15914,0.038279,-0.58767,0.13352,1.0492
1,-0.17426,1.0963,0.31157,0.33936,-1.4123,0.81266,0.016071,-0.16727,0.43821,-0.34287,0.885
0,-0.17426,-0.24369,0.54241,1.9101,-0.91471,-0.20223,-0.65954,-0.42631,0.33537,-1.905,0.34822
0,-0.17426,-0.85498,-1.6352,-1.5189,-2.0377,-0.25419,1.0335,4.2737,-1.3473,1.5294,4.1819
0,-0.17426,0.69812,-3.818,-3.7312,-2.6167,0.38161,4.5989,5.065,-1.6293,3.7784,5.1553
1,-0.17426,0.93091,-3.1085,-1.7401,-1.4686,1.8982,3.5996,2.2202,-1.0981,1.7621,2.4373
1,-0.17426,1.0077,-1.0212,-0.036719,-0.69002,0.4965,-0.019129,0.87608,-0.7435,0.044886,1.0167
