is_classified,medial_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
1,0,236.01,0.076556,0.066614,-0.999,0.00014679,0.000463,2.91E-05,0.0060046,0.0048908,0.99803
1,0,251.52,0.076504,0.057773,-0.99942,0.00012833,0.00028281,2.07E-05,0.0059785,0.0036146,0.99886
1,0,244.12,0.074983,0.063789,-0.99904,9.85E-05,0.0001673,7.17E-06,0.0057188,0.0042328,0.99808
1,0,269.8,0.074875,0.063318,-0.99931,0.00011407,0.00016428,1.95E-05,0.0057179,0.00417,0.99864
1,0,282.58,0.074749,0.05574,-1.0003,0.00012055,0.00025609,2.41E-05,0.0057054,0.0033577,1.0005
1,0,272.56,0.075407,0.056827,-1.0001,8.62E-05,0.00031538,1.37E-05,0.0057706,0.0035381,1.0001
1,0,285.53,0.075382,0.058577,-0.99937,0.0001139,0.00028408,8.89E-06,0.0057939,0.0037094,0.99875
1,0,293.77,0.074835,0.059885,-0.99882,0.00015248,0.00026933,1.20E-05,0.0057496,0.0038499,0.99765
1,0,299.01,0.076954,0.055714,-0.99837,0.00012383,0.00025977,1.62E-05,0.0060432,0.0033584,0.99675
1,0,312.76,0.076709,0.051019,-0.99881,9.10E-05,0.00015145,7.69E-06,0.0059734,0.0027512,0.99762
1,0,304.32,0.075187,0.056727,-0.99854,0.00010229,0.00019159,1.39E-05,0.0057532,0.0034056,0.99709
1,0,314.15,0.076159,0.056047,-0.99862,9.90E-05,0.00025707,1.80E-05,0.0058971,0.003393,0.99725
1,0,315.86,0.076276,0.05243,-0.99933,0.00015269,0.00030224,8.29E-06,0.0059675,0.0030448,0.99866
1,0,307.73,0.07567,0.057672,-0.99901,0.00014763,0.00043815,4.96E-06,0.0058705,0.0037551,0.99803
1,0,326.63,0.075109,0.058048,-0.99911,6.78E-05,0.00034772,2.60E-05,0.0057077,0.0037101,0.99825
1,0,327.01,0.0742,0.060403,-0.99904,8.46E-05,0.00026915,4.13E-05,0.0055885,0.0039121,0.99813
1,0,339.65,0.074112,0.057227,-0.99864,0.00013974,0.00033823,2.49E-05,0.0056294,0.0036062,0.99731
1,0,347.23,0.073982,0.054577,-0.99853,0.00018066,0.00046911,1.43E-05,0.0056502,0.003438,0.99708
1,0,342.73,0.074429,0.054992,-0.9988,0.00014642,0.0005188,9.28E-06,0.005683,0.0035321,0.99762
1,0,333.48,0.075203,0.050704,-0.99949,0.00024701,0.00051099,1.97E-05,0.0058973,0.0030712,0.99901
1,0,333.22,0.075128,0.050104,-0.99964,0.00024457,0.00049395,1.87E-05,0.0058836,0.0029941,0.9993
1,0,341.18,0.075185,0.042687,-0.99968,0.00014372,0.00026441,7.21E-06,0.0057935,0.0020811,0.99936
1,0,342.19,0.075595,0.046492,-0.99913,0.00024714,0.00048303,2.27E-05,0.0059565,0.0026344,0.99829
1,0,339.61,0.075108,0.049267,-0.9991,0.00019866,0.00043102,2.05E-05,0.0058357,0.0028493,0.99823
1,0,350.32,0.075045,0.050419,-0.99997,0.00013345,0.00035612,9.40E-06,0.0057625,0.0028907,0.99996
1,0,354.63,0.075585,0.048564,-1.0002,0.00016739,0.00050695,8.90E-06,0.005877,0.0028548,1.0003
1,0,360.1,0.075063,0.045119,-0.99977,0.00018424,0.00036943,5.76E-06,0.0058149,0.0023975,0.99954
1,0,372.43,0.075926,0.04584,-0.99932,0.00013226,0.00027772,7.85E-06,0.0058942,0.0023732,0.99864
1,0,359.34,0.075733,0.045624,-0.99883,0.00011794,0.00040395,1.22E-05,0.005851,0.0024771,0.99767
1,0,349.62,0.076441,0.044399,-0.99953,0.00018886,0.00044577,1.52E-05,0.0060282,0.0024077,0.99908
1,0,349.28,0.076926,0.04566,-0.99957,0.00018937,0.00036088,1.47E-05,0.006103,0.0024382,0.99916
1,0,360.81,0.075285,0.04708,-0.99966,0.00016897,0.00032193,1.71E-05,0.0058332,0.0025318,0.99933
1,0,361.98,0.075617,0.046286,-0.99914,0.00013342,0.00033851,3.47E-05,0.0058486,0.0024738,0.99831
1,0,363.04,0.076052,0.053487,-0.99794,0.00014175,0.00042259,2.62E-05,0.0059228,0.0032746,0.99591
1,0,362.88,0.075226,0.0517,-0.99881,0.00015381,0.00055638,1.05E-05,0.0058095,0.0032177,0.99764
1,0,362.61,0.074675,0.05217,-0.99945,0.00010295,0.00054258,1.42E-05,0.0056772,0.003253,0.99891
1,0,370.32,0.075668,0.051557,-0.99971,0.00012772,0.00035839,2.17E-05,0.0058508,0.003009,0.99945
1,0,375.69,0.075509,0.052596,-0.99949,0.00016495,0.00039899,2.04E-05,0.0058632,0.0031571,0.999
1,0,375.13,0.075171,0.051886,-0.99927,0.00012295,0.00038441,1.15E-05,0.0057711,0.0030685,0.99855
1,0,366.12,0.075116,0.048908,-0.99996,0.0002131,0.00025997,1.34E-05,0.0058511,0.0026465,0.99993
0,0,216.69,0.074908,0.050414,-1.0001,0.00024836,0.00040388,1.49E-05,0.0058544,0.002937,1.0002
0,0,148.52,0.074369,0.052058,-0.99878,0.00015874,0.00040463,1.92E-05,0.0056862,0.0031062,0.99758
0,0,321.72,0.075102,0.048792,-0.99705,0.00086608,0.00063822,0.00015203,0.0064884,0.0030055,0.99426
1,0,347.68,0.076906,0.033727,-0.99816,0.00081385,0.00052676,0.00014486,0.0067114,0.0016533,0.99646
1,0,356.24,0.07562,0.03445,-1.0018,0.00038022,0.00059401,0.00018575,0.0060932,0.0017723,1.0038
