is_classified,medial_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
1,0,236.87,0.043744,-0.99631,0.0092688,9.55E-05,0.0001309,0.00016706,0.0020071,0.99277,0.00024949
1,0,236.01,0.043514,-0.99758,0.01325,7.50E-05,1.71E-05,0.00011354,0.0019669,0.99519,0.00028674
1,0,251.52,0.043441,-0.99722,0.010259,8.37E-05,1.30E-05,0.00015656,0.001969,0.99445,0.00025855
1,0,244.12,0.044783,-0.99684,0.010112,8.13E-05,6.94E-06,0.00023427,0.0020851,0.9937,0.00033165
1,0,269.8,0.044154,-0.99704,0.0096534,5.18E-05,5.59E-06,0.00020403,0.0020003,0.9941,0.00029297
1,0,282.58,0.043969,-0.99719,0.0061232,5.64E-05,3.61E-06,0.00010436,0.0019885,0.99439,0.00013968
1,0,272.56,0.043453,-0.99735,0.010715,8.59E-05,1.15E-05,0.00014713,0.0019722,0.99473,0.00025889
1,0,285.53,0.041801,-0.9975,0.0077674,8.60E-05,2.32E-05,0.00014823,0.0018315,0.99502,0.00020547
1,0,293.77,0.042911,-0.99734,0.0024656,9.94E-05,1.51E-05,6.87E-05,0.0019387,0.99471,7.33E-05
1,0,299.01,0.043446,-0.99766,0.0092573,8.77E-05,6.42E-06,0.00013849,0.0019734,0.99533,0.0002213
1,0,312.76,0.042951,-0.99769,0.0086622,7.25E-05,7.80E-06,0.00014589,0.0019158,0.99539,0.00021789
1,0,304.32,0.043282,-0.99717,0.0088161,0.00012344,5.44E-06,0.00026733,0.0019942,0.99434,0.00033948
1,0,314.15,0.043524,-0.99703,0.0081971,0.00011617,3.80E-06,0.00033035,0.0020081,0.99408,0.00039066
1,0,315.86,0.044744,-0.99701,0.0072123,7.20E-05,3.27E-06,0.00020602,0.0020726,0.99403,0.00025375
1,0,307.73,0.044382,-0.99701,0.010473,5.58E-05,1.93E-05,0.00016352,0.0020244,0.99405,0.00026979
1,0,326.63,0.045013,-0.99706,0.0039314,8.28E-05,1.88E-05,0.00011036,0.0021072,0.99415,0.00012351
1,0,327.01,0.046551,-0.9969,0.0064491,0.00014588,3.65E-06,0.0001563,0.0023098,0.99381,0.00019463
