top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,front_side_x,front_side_y,front_side_z,front_side_timestamp,front_x,front_y,front_z,front_timestamp,fsr_bottom,fsr_outside
0.066696167,0.0326385498,-1.0012054443,87610.8822635,0.0059661865,-0.9977416992,-0.0378265381,7068.8969595,0.0366210938,-0.9993743896,-0.0125274658,33565.8814816667,0.0301513672,-0.9972686768,-0.0156707764,14587.90467475,0,0
0.0695800781,0.0251617432,-1.0004425049,87610.9231875,0.0055541992,-0.9965057373,-0.0377807617,7068.9383665,0.0364227295,-0.9988861084,-0.0116271973,33565.9230166667,0.0299530029,-0.997253418,-0.0154876709,14587.94648375,0,0
0.070526123,0.0121917725,-1.0012817383,87610.9641115,0.0076293945,-0.9979705811,-0.0369415283,7068.9796235,0.035949707,-0.9998168945,-0.0124206543,33565.9645206667,0.0311126709,-0.9971923828,-0.0160064697,14587.98826175,0,0
0.0701904297,0.0200805664,-0.9996795654,87611.0050355,0.0047302246,-0.9965362549,-0.0365447998,7069.0210215,0.0368804932,-0.9983215332,-0.0125274658,33566.0060246667,0.0305480957,-0.9971160889,-0.0154571533,14588.03007075,0,0
0.0581665039,0.0169830322,-0.9985351563,87611.0459595,0.0080413818,-0.9956359863,-0.0375366211,7069.0624155,0.0364837646,-1.0001678467,-0.0115814209,33566.0475586667,0.0309753418,-0.997833252,-0.01612854,14588.07184975,0,0
0.0546722412,0.0239868164,-0.999786377,87611.0868835,0.0072479248,-0.9969482422,-0.0369567871,7069.1038135,0.0380401611,-0.9992980957,-0.0120544434,33566.0890626667,0.0301361084,-0.9972991943,-0.0155487061,14588.11365875,0,0
0.0765838623,-0.0006256104,-1.0003814697,87611.1278075,0.0070800781,-0.9954376221,-0.0377502441,7069.1452235,0.0367889404,-1,-0.0125732422,33566.1305666667,0.0306854248,-0.9975128174,-0.0153503418,14588.15546775,0,0
0.0920715332,0.0084075928,-0.9957122803,87611.1687315,0.006729126,-0.9980163574,-0.0375213623,7069.1864765,0.0368652344,-0.9999084473,-0.0123901367,33566.1721006667,0.0300445557,-0.9970550537,-0.0161743164,14588.19724675,0,0
0.0809173584,0.0354156494,-1.0006713867,87611.2096555,0.0052490234,-0.9967041016,-0.0384216309,7069.2278785,0.0368041992,-0.998916626,-0.0121154785,33566.2136046667,0.0301513672,-0.9970397949,-0.0151977539,14588.23905575,0,0
0.05809021,0.0556945801,-1.002243042,87611.2505795,0.0060424805,-0.9975891113,-0.0349273682,7069.2692755,0.0365753174,-0.9981994629,-0.0128936768,33566.2551086667,0.0301361084,-0.9961853027,-0.0156097412,14588.280816875,0,0
0.0522918701,0.0361633301,-1.0021514893,87611.2915035,0.0054626465,-0.9969482422,-0.0370635986,7069.3106585,0.0366363525,-0.9993743896,-0.0120239258,33566.296626125,0.0312042236,-0.9967498779,-0.01612854,14588.322625875,0,0
