is_walking,fsr1,fsr2,top_x,top_y,top_z,side_x,side_y,side_z,front_x,front_y,front_z,corner_x,corner_y,corner_z
0,0,0,0.077392578,0.049865723,-0.999923706,0.020736694,-0.995269775,-0.029525757,0.042175293,-0.997039795,0.000152588,0.036407471,-0.999206543,0.003982544
0,0,0,0.080108643,0.049285889,-0.998245239,0.021759033,-0.99710083,-0.027297974,0.042037964,-0.997619629,-0.000579834,0.037185669,-0.999435425,0.004043579
0,0,0,0.077682495,0.047912598,-0.999542236,0.019287109,-0.997329712,-0.027267456,0.041687012,-0.997329712,-0.000976563,0.036331177,-0.999588013,0.003265381
0,0,0,0.079666138,0.048934937,-0.999725342,0.021469116,-0.995849609,-0.02835083,0.04258728,-0.996994019,-0.000411987,0.036102295,-1.000167847,0.003997803
0,0,0,0.078292847,0.04826355,-1.000457764,0.021591187,-0.996627808,-0.0284729,0.042007446,-0.997360229,-0.001419067,0.036865234,-0.999938965,0.004226685
0,0,0,0.077011108,0.050537109,-0.999313354,0.020004272,-0.997238159,-0.027145386,0.042098999,-0.996734619,-0.000900269,0.037261963,-0.999160767,0.003646851
0,0,0,0.081298828,0.049285889,-0.998840332,0.021209717,-0.997177124,-0.026931763,0.042648315,-0.997390747,-0.000274658,0.036621094,-0.999542236,0.00328064
0,0,0,0.078277588,0.049423218,-0.999954224,0.020172119,-0.996185303,-0.027435303,0.042663574,-0.997344971,-4.58E-05,0.036026001,-0.99961853,0.004241943
0,0,0,0.078720093,0.048675537,-0.999908447,0.022155762,-0.995819092,-0.027038574,0.041854858,-0.996627808,-0.000320435,0.036056519,-0.999786377,0.003707886
0,0,0,0.078872681,0.049789429,-0.999588013,0.021072388,-0.997055054,-0.026000977,0.0418396,-0.99798584,-0.001251221,0.035995483,-0.999343872,0.004211426
0,0,0,0.077011108,0.048339844,-1.000076294,0.0206604,-0.996948242,-0.029769897,0.042098999,-0.997451782,-0.00062561,0.03616333,-0.999557495,0.004074097
0,0,0,0.078445435,0.047698975,-0.996505737,0.021530151,-0.996536255,-0.027252197,0.042068481,-0.996780396,-0.00038147,0.035888672,-0.998794556,0.004440308
0,0,0,0.07774353,0.048675537,-0.999038696,0.021575928,-0.99697876,-0.026199341,0.042053223,-0.997970581,-0.000320435,0.036895752,-0.999267578,0.004348755
0,0,0,0.079742432,0.049484253,-1.000839233,0.021331787,-0.996795654,-0.028656006,0.041824341,-0.997390747,0,0.03666687,-1,0.003311157
0,0,0,0.077438354,0.048187256,-0.998703003,0.020233154,-0.995697021,-0.026367188,0.042984009,-0.996292114,-0.001052856,0.036758423,-0.998550415,0.003326416
0,0,0,0.07800293,0.050613403,-0.999526978,0.019805908,-0.995605469,-0.025604248,0.043243408,-0.996871948,-0.001235962,0.036315918,-0.999954224,0.004089355
0,0,0,0.079330444,0.046203613,-0.997650146,0.021331787,-0.994491577,-0.027481079,0.042663574,-0.997177124,-0.000152588,0.036392212,-1.000488281,0.003768921
0,0,0,0.077728271,0.048248291,-0.999145508,0.020523071,-0.996444702,-0.029190063,0.042358398,-0.997512817,-0.000167847,0.035690308,-0.998886108,0.004638672
0,0,0,0.079284668,0.049713135,-1.000869751,0.02192688,-0.997024536,-0.028533936,0.041946411,-0.997299194,-0.000762939,0.036605835,-0.998962402,0.004043579
0,0,0,0.079360962,0.048690796,-0.997817993,0.02130127,-0.997314453,-0.029632568,0.042419434,-0.997039795,-0.001464844,0.036392212,-0.999008179,0.003311157
0,0,0,0.07749939,0.049438477,-0.99772644,0.0209198,-0.99772644,-0.02645874,0.041732788,-0.996505737,-0.001068115,0.036315918,-0.999191284,0.004241943
0,0,0,0.080032349,0.047653198,-0.999664307,0.019958496,-0.995239258,-0.028091431,0.042785645,-0.997772217,-3.05E-05,0.037704468,-0.999816895,0.003341675
0,0,0,0.077835083,0.04800415,-0.998687744,0.020217896,-0.996368408,-0.027389526,0.042129517,-0.997039795,-0.001342773,0.036117554,-0.999465942,0.004623413
0,0,0,0.078292847,0.047119141,-0.998245239,0.022338867,-0.996551514,-0.0284729,0.042190552,-0.997344971,-0.001296997,0.037139893,-0.998825073,0.00479126
