is_walking,fsr_bottom,fsr_outside,top_x,top_y,top_z,side_x,side_y,side_z,corner_x,corner_y,corner_z,front_x,front_y,front_z
0,0,0,0.0648651123,0.0364990234,-1.0001220703,0.0153808594,-0.9965209961,-0.0372314453,0.0389556885,-0.9995269775,-0.0065307617,0.0477752686,-0.9968719482,-0.0085296631
0,0,0,0.0651092529,0.037612915,-1.0010681152,0.0140991211,-0.9969940186,-0.0347137451,0.0382843018,-0.9994812012,-0.0063018799,0.0491638184,-0.9974975586,-0.0084991455
0,0,0,0.0644073486,0.0356903076,-1.0008850098,0.0143737793,-0.9958343506,-0.0355224609,0.0378417969,-0.9990539551,-0.0070495605,0.0468444824,-0.9961395264,-0.008102417
0,0,0,0.0636901855,0.0355682373,-1.0025939941,0.0125579834,-0.9970397949,-0.0358734131,0.0388946533,-0.9996643066,-0.0066680908,0.047958374,-0.9970092773,-0.0085906982
0,0,0,0.0648803711,0.035736084,-1.0009765625,0.0142211914,-0.9973602295,-0.0346374512,0.0375213623,-0.9988098145,-0.006439209,0.0470733643,-0.9968566895,-0.0087585449
0,0,0,0.064163208,0.0370025635,-1.0011444092,0.0137329102,-0.9974975586,-0.0355377197,0.0387878418,-0.9996795654,-0.0058288574,0.0484924316,-0.9974365234,-0.0096588135
0,0,0,0.064163208,0.0364990234,-1.0002746582,0.0144805908,-0.9967956543,-0.0357055664,0.0375976563,-0.9989471436,-0.0071411133,0.0477294922,-0.9964141846,-0.0089263916
0,0,0,0.0646514893,0.0381469727,-1.0003356934,0.0124511719,-0.9965820313,-0.0348052979,0.0386047363,-0.9993591309,-0.0061035156,0.0483093262,-0.99609375,-0.0082092285
0,0,0,0.0650177002,0.0365142822,-1.0006561279,0.0128631592,-0.9987945557,-0.0352935791,0.0378417969,-0.999420166,-0.0066223145,0.0484924316,-0.9966278076,-0.0089111328
0,0,0,0.0651855469,0.0363616943,-0.9995117188,0.0146636963,-0.9976196289,-0.0348358154,0.0390472412,-0.9987945557,-0.0063171387,0.0478057861,-0.9962921143,-0.0091094971
0,0,0,0.0648803711,0.0367431641,-0.9996185303,0.0129394531,-0.9967346191,-0.0371551514,0.037689209,-0.9990844727,-0.0061950684,0.0486907959,-0.9965362549,-0.0089263916
0,0,0,0.0647583008,0.0371398926,-1.0011291504,0.0140991211,-0.9974365234,-0.0354919434,0.0392456055,-1.0002288818,-0.0054016113,0.0482788086,-0.9962158203,-0.0084228516
0,0,0,0.063583374,0.0373840332,-1.0000305176,0.0123748779,-0.9950408936,-0.0364379883,0.0388946533,-0.9993896484,-0.0068817139,0.0478820801,-0.9961547852,-0.0091400146
0,0,0,0.0642242432,0.0372467041,-1.0022888184,0.0147857666,-0.9964141846,-0.036026001,0.0372161865,-1.0003814697,-0.005859375,0.0478668213,-0.9953460693,-0.0091705322
0,0,0,0.0651702881,0.0365753174,-1.0001068115,0.0145721436,-0.9962005615,-0.0352172852,0.0386505127,-0.9994506836,-0.0063781738,0.0470123291,-0.9964141846,-0.0082397461
